# dataset: GeoCSV 2.0
# delimiter: ,
# SID: IU_MA2_00_BHZ
# sample_count: 13200
# sample_rate_hz: 20
# start_time: 2025-02-08T11:02:55.019538Z
# field_unit: UTC, Counts
# field_type: datetime, INTEGER
Time, Sample
2025-02-08T11:02:55.019538Z, 1942
2025-02-08T11:02:55.069538Z, 2094
2025-02-08T11:02:55.119538Z, 2165
2025-02-08T11:02:55.169538Z, 1933
2025-02-08T11:02:55.219538Z, 2094
2025-02-08T11:02:55.269538Z, 2078
2025-02-08T11:02:55.319538Z, 1854
2025-02-08T11:02:55.369538Z, 2044
2025-02-08T11:02:55.419538Z, 2060
2025-02-08T11:02:55.469538Z, 1841
2025-02-08T11:02:55.519538Z, 1871
2025-02-08T11:02:55.569538Z, 1844
2025-02-08T11:02:55.619538Z, 1732
2025-02-08T11:02:55.669538Z, 1735
2025-02-08T11:02:55.719538Z, 1782
2025-02-08T11:02:55.769538Z, 1703
2025-02-08T11:02:55.819538Z, 1608
2025-02-08T11:02:55.869538Z, 1580
2025-02-08T11:02:55.919538Z, 1525
2025-02-08T11:02:55.969538Z, 1457
2025-02-08T11:02:56.019538Z, 1437
2025-02-08T11:02:56.069538Z, 1439
2025-02-08T11:02:56.119538Z, 1277
2025-02-08T11:02:56.169538Z, 1260
2025-02-08T11:02:56.219538Z, 1248
2025-02-08T11:02:56.269538Z, 929
2025-02-08T11:02:56.319538Z, 899
2025-02-08T11:02:56.369538Z, 852
2025-02-08T11:02:56.419538Z, 553
2025-02-08T11:02:56.469538Z, 558
2025-02-08T11:02:56.519538Z, 420
2025-02-08T11:02:56.569538Z, 192
2025-02-08T11:02:56.619538Z, 111
2025-02-08T11:02:56.669538Z, -135
2025-02-08T11:02:56.719538Z, -284
2025-02-08T11:02:56.769538Z, -436
2025-02-08T11:02:56.819538Z, -679
2025-02-08T11:02:56.869538Z, -838
2025-02-08T11:02:56.919538Z, -996
2025-02-08T11:02:56.969538Z, -1197
2025-02-08T11:02:57.019538Z, -1374
2025-02-08T11:02:57.069538Z, -1527
2025-02-08T11:02:57.119538Z, -1756
2025-02-08T11:02:57.169538Z, -1932
2025-02-08T11:02:57.219538Z, -2142
2025-02-08T11:02:57.269538Z, -2371
2025-02-08T11:02:57.319538Z, -2574
2025-02-08T11:02:57.369538Z, -2765
2025-02-08T11:02:57.419538Z, -2910
2025-02-08T11:02:57.469538Z, -3052
2025-02-08T11:02:57.519538Z, -3074
2025-02-08T11:02:57.569538Z, -3269
2025-02-08T11:02:57.619538Z, -3471
2025-02-08T11:02:57.669538Z, -3567
2025-02-08T11:02:57.719538Z, -3702
2025-02-08T11:02:57.769538Z, -3767
2025-02-08T11:02:57.819538Z, -3892
2025-02-08T11:02:57.869538Z, -3901
2025-02-08T11:02:57.919538Z, -3841
2025-02-08T11:02:57.969538Z, -3913
2025-02-08T11:02:58.019538Z, -3976
2025-02-08T11:02:58.069538Z, -3957
2025-02-08T11:02:58.119538Z, -4045
2025-02-08T11:02:58.169538Z, -3963
2025-02-08T11:02:58.219538Z, -3761
2025-02-08T11:02:58.269538Z, -3904
2025-02-08T11:02:58.319538Z, -3858
2025-02-08T11:02:58.369538Z, -3626
2025-02-08T11:02:58.419538Z, -3632
2025-02-08T11:02:58.469538Z, -3466
2025-02-08T11:02:58.519538Z, -3134
2025-02-08T11:02:58.569538Z, -3138
2025-02-08T11:02:58.619538Z, -2986
