# dataset: GeoCSV 2.0
# delimiter: ,
# SID: IU_MA2_10_BH2
# sample_count: 26400
# sample_rate_hz: 40
# start_time: 2025-02-08T11:02:55.019538Z
# field_unit: UTC, Counts
# field_type: datetime, INTEGER
Time, Sample
2025-02-08T11:02:55.019538Z, -37849
2025-02-08T11:02:55.044538Z, -40482
2025-02-08T11:02:55.069538Z, -41221
2025-02-08T11:02:55.094538Z, -39290
2025-02-08T11:02:55.119538Z, -40765
2025-02-08T11:02:55.144538Z, -42020
2025-02-08T11:02:55.169538Z, -38984
2025-02-08T11:02:55.194538Z, -38076
2025-02-08T11:02:55.219538Z, -39831
2025-02-08T11:02:55.244538Z, -39422
2025-02-08T11:02:55.269538Z, -38335
2025-02-08T11:02:55.294538Z, -39703
2025-02-08T11:02:55.319538Z, -39626
2025-02-08T11:02:55.344538Z, -37570
2025-02-08T11:02:55.369538Z, -40052
2025-02-08T11:02:55.394538Z, -40917
2025-02-08T11:02:55.419538Z, -38481
2025-02-08T11:02:55.444538Z, -39798
2025-02-08T11:02:55.469538Z, -38944
2025-02-08T11:02:55.494538Z, -35475
2025-02-08T11:02:55.519538Z, -37683
2025-02-08T11:02:55.544538Z, -41689
2025-02-08T11:02:55.569538Z, -39714
2025-02-08T11:02:55.594538Z, -37704
2025-02-08T11:02:55.619538Z, -40019
2025-02-08T11:02:55.644538Z, -39362
2025-02-08T11:02:55.669538Z, -37439
2025-02-08T11:02:55.694538Z, -39421
2025-02-08T11:02:55.719538Z, -39580
2025-02-08T11:02:55.744538Z, -37639
2025-02-08T11:02:55.769538Z, -38042
2025-02-08T11:02:55.794538Z, -37196
2025-02-08T11:02:55.819538Z, -35390
2025-02-08T11:02:55.844538Z, -37071
2025-02-08T11:02:55.869538Z, -38065
2025-02-08T11:02:55.894538Z, -35269
2025-02-08T11:02:55.919538Z, -35651
2025-02-08T11:02:55.944538Z, -38377
2025-02-08T11:02:55.969538Z, -37297
2025-02-08T11:02:55.994538Z, -35770
2025-02-08T11:02:56.019538Z, -35658
2025-02-08T11:02:56.044538Z, -33832
2025-02-08T11:02:56.069538Z, -31665
2025-02-08T11:02:56.094538Z, -33295
2025-02-08T11:02:56.119538Z, -34043
2025-02-08T11:02:56.144538Z, -33306
2025-02-08T11:02:56.169538Z, -34090
2025-02-08T11:02:56.194538Z, -31712
2025-02-08T11:02:56.219538Z, -29692
2025-02-08T11:02:56.244538Z, -31065
2025-02-08T11:02:56.269538Z, -31591
2025-02-08T11:02:56.294538Z, -29831
2025-02-08T11:02:56.319538Z, -29519
2025-02-08T11:02:56.344538Z, -31306
2025-02-08T11:02:56.369538Z, -29401
2025-02-08T11:02:56.394538Z, -27955
2025-02-08T11:02:56.419538Z, -30978
2025-02-08T11:02:56.444538Z, -30895
2025-02-08T11:02:56.469538Z, -28487
2025-02-08T11:02:56.494538Z, -28490
2025-02-08T11:02:56.519538Z, -27648
2025-02-08T11:02:56.544538Z, -27113
2025-02-08T11:02:56.569538Z, -29758
2025-02-08T11:02:56.594538Z, -31061
2025-02-08T11:02:56.619538Z, -27847
2025-02-08T11:02:56.644538Z, -25995
2025-02-08T11:02:56.669538Z, -25928
2025-02-08T11:02:56.694538Z, -23493
2025-02-08T11:02:56.719538Z, -24794
2025-02-08T11:02:56.744538Z, -28035
2025-02-08T11:02:56.769538Z, -25950
2025-02-08T11:02:56.794538Z, -24341
2025-02-08T11:02:56.819538Z, -26877
2025-02-08T11:02:56.844538Z, -26312
2025-02-08T11:02:56.869538Z, -22383
2025-02-08T11:02:56.894538Z, -22468
2025-02-08T11:02:56.919538Z, -23464
2025-02-08T11:02:56.944538Z, -22773
2025-02-08T11:02:56.969538Z, -23548
2025-02-08T11:02:56.994538Z, -22533
2025-02-08T11:02:57.019538Z, -20711
2025-02-08T11:02:57.044538Z, -22132
2025-02-08T11:02:57.069538Z, -22673
2025-02-08T11:02:57.094538Z, -20759
2025-02-08T11:02:57.119538Z, -21670
2025-02-08T11:02:57.144538Z, -23519
2025-02-08T11:02:57.169538Z, -20364
2025-02-08T11:02:57.194538Z, -18123
2025-02-08T11:02:57.219538Z, -20879
2025-02-08T11:02:57.244538Z, -20690
2025-02-08T11:02:57.269538Z, -18138
2025-02-08T11:02:57.294538Z, -20055
2025-02-08T11:02:57.319538Z, -20787
2025-02-08T11:02:57.344538Z, -16985
2025-02-08T11:02:57.369538Z, -17763
2025-02-08T11:02:57.394538Z, -20597
2025-02-08T11:02:57.419538Z, -18982
2025-02-08T11:02:57.444538Z, -18934
2025-02-08T11:02:57.469538Z, -19732
2025-02-08T11:02:57.494538Z, -17475
2025-02-08T11:02:57.519538Z, -16048
2025-02-08T11:02:57.544538Z, -17058
2025-02-08T11:02:57.569538Z, -17305
2025-02-08T11:02:57.594538Z, -16922
2025-02-08T11:02:57.619538Z, -20026
2025-02-08T11:02:57.644538Z, -21190
2025-02-08T11:02:57.669538Z, -17060
2025-02-08T11:02:57.694538Z, -16786
2025-02-08T11:02:57.719538Z, -18835
2025-02-08T11:02:57.744538Z, -18201
2025-02-08T11:02:57.769538Z, -18992
2025-02-08T11:02:57.794538Z, -19550
2025-02-08T11:02:57.819538Z, -17650
2025-02-08T11:02:57.844538Z, -19077
2025-02-08T11:02:57.869538Z, -20969
2025-02-08T11:02:57.894538Z, -19322
2025-02-08T11:02:57.919538Z, -20703
2025-02-08T11:02:57.944538Z, -22835
2025-02-08T11:02:57.969538Z, -21072
2025-02-08T11:02:57.994538Z, -19346
2025-02-08T11:02:58.019538Z, -20996
2025-02-08T11:02:58.044538Z, -22498
2025-02-08T11:02:58.069538Z, -22081
2025-02-08T11:02:58.094538Z, -23565
2025-02-08T11:02:58.119538Z, -24135
2025-02-08T11:02:58.144538Z, -23200
2025-02-08T11:02:58.169538Z, -24025
2025-02-08T11:02:58.194538Z, -23375
2025-02-08T11:02:58.219538Z, -21970
2025-02-08T11:02:58.244538Z, -23870
2025-02-08T11:02:58.269538Z, -25601
2025-02-08T11:02:58.294538Z, -24668
2025-02-08T11:02:58.319538Z, -25734
2025-02-08T11:02:58.344538Z, -28831
2025-02-08T11:02:58.369538Z, -28345
2025-02-08T11:02:58.394538Z, -25652
2025-02-08T11:02:58.419538Z, -25972
2025-02-08T11:02:58.444538Z, -28487
2025-02-08T11:02:58.469538Z, -29737
2025-02-08T11:02:58.494538Z, -30398
2025-02-08T11:02:58.519538Z, -31318
2025-02-08T11:02:58.544538Z, -30390
2025-02-08T11:02:58.569538Z, -29183
2025-02-08T11:02:58.594538Z, -29505
2025-02-08T11:02:58.619538Z, -29164
2025-02-08T11:02:58.644538Z, -30520
2025-02-08T11:02:58.669538Z, -33433
2025-02-08T11:02:58.694538Z, -32997
2025-02-08T11:02:58.719538Z, -32504
2025-02-08T11:02:58.744538Z, -33930
2025-02-08T11:02:58.769538Z, -34075
2025-02-08T11:02:58.794538Z, -33000
2025-02-08T11:02:58.819538Z, -33199
2025-02-08T11:02:58.844538Z, -33700
2025-02-08T11:02:58.869538Z, -32808
2025-02-08T11:02:58.894538Z, -33730
2025-02-08T11:02:58.919538Z, -34867
2025-02-08T11:02:58.944538Z, -33899
2025-02-08T11:02:58.969538Z, -33355
2025-02-08T11:02:58.994538Z, -33677
2025-02-08T11:02:59.019538Z, -32421
2025-02-08T11:02:59.044538Z, -31273
2025-02-08T11:02:59.069538Z, -33635
2025-02-08T11:02:59.094538Z, -32998
2025-02-08T11:02:59.119538Z, -30868
2025-02-08T11:02:59.144538Z, -32748
2025-02-08T11:02:59.169538Z, -31255
2025-02-08T11:02:59.194538Z, -30011
2025-02-08T11:02:59.219538Z, -34007
2025-02-08T11:02:59.244538Z, -34547
2025-02-08T11:02:59.269538Z, -32125
2025-02-08T11:02:59.294538Z, -31823
2025-02-08T11:02:59.319538Z, -31077
2025-02-08T11:02:59.344538Z, -29261
2025-02-08T11:02:59.369538Z, -29071
2025-02-08T11:02:59.394538Z, -29277
2025-02-08T11:02:59.419538Z, -27837
2025-02-08T11:02:59.444538Z, -27687
2025-02-08T11:02:59.469538Z, -29680
2025-02-08T11:02:59.494538Z, -30813
2025-02-08T11:02:59.519538Z, -28940
2025-02-08T11:02:59.544538Z, -27370
2025-02-08T11:02:59.569538Z, -28778
2025-02-08T11:02:59.594538Z, -28242
2025-02-08T11:02:59.619538Z, -27481
2025-02-08T11:02:59.644538Z, -28268
2025-02-08T11:02:59.669538Z, -26579
2025-02-08T11:02:59.694538Z, -25685
2025-02-08T11:02:59.719538Z, -27497
2025-02-08T11:02:59.744538Z, -28024
2025-02-08T11:02:59.769538Z, -27151
2025-02-08T11:02:59.794538Z, -27560
2025-02-08T11:02:59.819538Z, -27027
2025-02-08T11:02:59.844538Z, -25738
2025-02-08T11:02:59.869538Z, -26441
2025-02-08T11:02:59.894538Z, -25835
2025-02-08T11:02:59.919538Z, -26062
2025-02-08T11:02:59.944538Z, -28533
2025-02-08T11:02:59.969538Z, -27084
2025-02-08T11:02:59.994538Z, -23965
2025-02-08T11:03:00.019538Z, -25345
2025-02-08T11:03:00.044538Z, -28231
2025-02-08T11:03:00.069538Z, -28661
2025-02-08T11:03:00.094538Z, -29084
2025-02-08T11:03:00.119538Z, -28501
2025-02-08T11:03:00.144538Z, -25854
2025-02-08T11:03:00.169538Z, -25156
2025-02-08T11:03:00.194538Z, -26195
2025-02-08T11:03:00.219538Z, -26149
2025-02-08T11:03:00.244538Z, -25777
2025-02-08T11:03:00.269538Z, -28245
2025-02-08T11:03:00.294538Z, -30547
2025-02-08T11:03:00.319538Z, -28249
2025-02-08T11:03:00.344538Z, -27089
2025-02-08T11:03:00.369538Z, -28195
2025-02-08T11:03:00.394538Z, -26528
2025-02-08T11:03:00.419538Z, -25737
2025-02-08T11:03:00.444538Z, -28259
2025-02-08T11:03:00.469538Z, -28147
2025-02-08T11:03:00.494538Z, -25922
2025-02-08T11:03:00.519538Z, -27396
2025-02-08T11:03:00.544538Z, -28561
2025-02-08T11:03:00.569538Z, -27137
2025-02-08T11:03:00.594538Z, -25735
2025-02-08T11:03:00.619538Z, -25881
2025-02-08T11:03:00.644538Z, -27469
2025-02-08T11:03:00.669538Z, -27071
2025-02-08T11:03:00.694538Z, -27253
2025-02-08T11:03:00.719538Z, -27561
2025-02-08T11:03:00.744538Z, -27215
2025-02-08T11:03:00.769538Z, -27658
2025-02-08T11:03:00.794538Z, -25014
2025-02-08T11:03:00.819538Z, -23692
2025-02-08T11:03:00.844538Z, -25344
2025-02-08T11:03:00.869538Z, -25148
2025-02-08T11:03:00.894538Z, -23763
2025-02-08T11:03:00.919538Z, -23555
2025-02-08T11:03:00.944538Z, -24313
2025-02-08T11:03:00.969538Z, -24457
2025-02-08T11:03:00.994538Z, -25913
2025-02-08T11:03:01.019538Z, -24620
2025-02-08T11:03:01.044538Z, -21760
2025-02-08T11:03:01.069538Z, -22578
2025-02-08T11:03:01.094538Z, -21922
2025-02-08T11:03:01.119538Z, -20954
2025-02-08T11:03:01.144538Z, -21615
2025-02-08T11:03:01.169538Z, -23344
2025-02-08T11:03:01.194538Z, -22381
2025-02-08T11:03:01.219538Z, -19253
2025-02-08T11:03:01.244538Z, -18891
2025-02-08T11:03:01.269538Z, -15992
2025-02-08T11:03:01.294538Z, -14945
2025-02-08T11:03:01.319538Z, -18323
2025-02-08T11:03:01.344538Z, -19810
2025-02-08T11:03:01.369538Z, -19403
2025-02-08T11:03:01.394538Z, -18275
2025-02-08T11:03:01.419538Z, -18866
2025-02-08T11:03:01.444538Z, -19186
2025-02-08T11:03:01.469538Z, -19023
2025-02-08T11:03:01.494538Z, -19572
2025-02-08T11:03:01.519538Z, -16874
2025-02-08T11:03:01.544538Z, -12827
2025-02-08T11:03:01.569538Z, -12036
2025-02-08T11:03:01.594538Z, -14169
2025-02-08T11:03:01.619538Z, -15786
2025-02-08T11:03:01.644538Z, -17924
2025-02-08T11:03:01.669538Z, -19102
2025-02-08T11:03:01.694538Z, -15937
2025-02-08T11:03:01.719538Z, -14066
2025-02-08T11:03:01.744538Z, -13638
2025-02-08T11:03:01.769538Z, -12398
2025-02-08T11:03:01.794538Z, -12484
2025-02-08T11:03:01.819538Z, -13252
2025-02-08T11:03:01.844538Z, -13613
2025-02-08T11:03:01.869538Z, -13795
2025-02-08T11:03:01.894538Z, -15004
2025-02-08T11:03:01.919538Z, -15386
2025-02-08T11:03:01.944538Z, -14356
2025-02-08T11:03:01.969538Z, -15134
2025-02-08T11:03:01.994538Z, -14241
2025-02-08T11:03:02.019538Z, -12895
2025-02-08T11:03:02.044538Z, -16473
2025-02-08T11:03:02.069538Z, -17676
2025-02-08T11:03:02.094538Z, -16229
2025-02-08T11:03:02.119538Z, -17012
2025-02-08T11:03:02.144538Z, -15489
2025-02-08T11:03:02.169538Z, -13614
2025-02-08T11:03:02.194538Z, -16448
2025-02-08T11:03:02.219538Z, -18766
2025-02-08T11:03:02.244538Z, -18652
2025-02-08T11:03:02.269538Z, -19091
2025-02-08T11:03:02.294538Z, -18688
2025-02-08T11:03:02.319538Z, -19240
2025-02-08T11:03:02.344538Z, -20104
2025-02-08T11:03:02.369538Z, -20092
2025-02-08T11:03:02.394538Z, -21280
2025-02-08T11:03:02.419538Z, -23088
2025-02-08T11:03:02.444538Z, -24517
2025-02-08T11:03:02.469538Z, -23856
2025-02-08T11:03:02.494538Z, -23248
2025-02-08T11:03:02.519538Z, -24478
2025-02-08T11:03:02.544538Z, -26448
2025-02-08T11:03:02.569538Z, -28927
2025-02-08T11:03:02.594538Z, -28221
2025-02-08T11:03:02.619538Z, -27956
2025-02-08T11:03:02.644538Z, -30337
2025-02-08T11:03:02.669538Z, -30144
2025-02-08T11:03:02.694538Z, -28944
2025-02-08T11:03:02.719538Z, -28470
2025-02-08T11:03:02.744538Z, -30359
2025-02-08T11:03:02.769538Z, -31773
2025-02-08T11:03:02.794538Z, -31411
2025-02-08T11:03:02.819538Z, -33268
2025-02-08T11:03:02.844538Z, -35674
2025-02-08T11:03:02.869538Z, -36818
2025-02-08T11:03:02.894538Z, -36128
2025-02-08T11:03:02.919538Z, -35676
2025-02-08T11:03:02.944538Z, -36469
2025-02-08T11:03:02.969538Z, -35860
2025-02-08T11:03:02.994538Z, -36297
2025-02-08T11:03:03.019538Z, -37953
2025-02-08T11:03:03.044538Z, -38123
2025-02-08T11:03:03.069538Z, -38634
2025-02-08T11:03:03.094538Z, -39713
2025-02-08T11:03:03.119538Z, -41196
2025-02-08T11:03:03.144538Z, -42466
2025-02-08T11:03:03.169538Z, -43977
2025-02-08T11:03:03.194538Z, -43284
2025-02-08T11:03:03.219538Z, -41516
2025-02-08T11:03:03.244538Z, -44229
2025-02-08T11:03:03.269538Z, -46929
2025-02-08T11:03:03.294538Z, -46713
2025-02-08T11:03:03.319538Z, -45351
2025-02-08T11:03:03.344538Z, -46593
2025-02-08T11:03:03.369538Z, -48287
2025-02-08T11:03:03.394538Z, -47452
2025-02-08T11:03:03.419538Z, -48255
2025-02-08T11:03:03.444538Z, -50045
2025-02-08T11:03:03.469538Z, -51329
2025-02-08T11:03:03.494538Z, -51767
2025-02-08T11:03:03.519538Z, -52019
2025-02-08T11:03:03.544538Z, -51686
2025-02-08T11:03:03.569538Z, -51414
2025-02-08T11:03:03.594538Z, -52929
2025-02-08T11:03:03.619538Z, -53475
2025-02-08T11:03:03.644538Z, -54408
2025-02-08T11:03:03.669538Z, -54093
2025-02-08T11:03:03.694538Z, -51696
2025-02-08T11:03:03.719538Z, -52904
2025-02-08T11:03:03.744538Z, -55132
2025-02-08T11:03:03.769538Z, -56579
2025-02-08T11:03:03.794538Z, -56673
2025-02-08T11:03:03.819538Z, -54724
2025-02-08T11:03:03.844538Z, -53812
2025-02-08T11:03:03.869538Z, -54146
2025-02-08T11:03:03.894538Z, -54806
2025-02-08T11:03:03.919538Z, -53820
2025-02-08T11:03:03.944538Z, -54629
2025-02-08T11:03:03.969538Z, -57721
2025-02-08T11:03:03.994538Z, -56337
2025-02-08T11:03:04.019538Z, -53196
2025-02-08T11:03:04.044538Z, -52596
2025-02-08T11:03:04.069538Z, -53691
2025-02-08T11:03:04.094538Z, -54763
2025-02-08T11:03:04.119538Z, -53603
2025-02-08T11:03:04.144538Z, -52726
2025-02-08T11:03:04.169538Z, -52941
2025-02-08T11:03:04.194538Z, -51951
2025-02-08T11:03:04.219538Z, -51717
2025-02-08T11:03:04.244538Z, -51720
2025-02-08T11:03:04.269538Z, -50609
2025-02-08T11:03:04.294538Z, -50360
2025-02-08T11:03:04.319538Z, -50227
2025-02-08T11:03:04.344538Z, -49447
2025-02-08T11:03:04.369538Z, -50170
2025-02-08T11:03:04.394538Z, -49962
2025-02-08T11:03:04.419538Z, -48341
2025-02-08T11:03:04.444538Z, -48166
2025-02-08T11:03:04.469538Z, -46458
2025-02-08T11:03:04.494538Z, -46535
2025-02-08T11:03:04.519538Z, -48183
2025-02-08T11:03:04.544538Z, -46108
2025-02-08T11:03:04.569538Z, -45508
2025-02-08T11:03:04.594538Z, -44305
2025-02-08T11:03:04.619538Z, -41841
2025-02-08T11:03:04.644538Z, -43173
2025-02-08T11:03:04.669538Z, -43671
2025-02-08T11:03:04.694538Z, -42383
2025-02-08T11:03:04.719538Z, -41204
2025-02-08T11:03:04.744538Z, -40622
2025-02-08T11:03:04.769538Z, -41053
2025-02-08T11:03:04.794538Z, -41157
2025-02-08T11:03:04.819538Z, -40306
2025-02-08T11:03:04.844538Z, -38444
2025-02-08T11:03:04.869538Z, -38120
2025-02-08T11:03:04.894538Z, -36765
2025-02-08T11:03:04.919538Z, -33640
2025-02-08T11:03:04.944538Z, -34845
2025-02-08T11:03:04.969538Z, -36994
2025-02-08T11:03:04.994538Z, -35978
2025-02-08T11:03:05.019538Z, -35557
2025-02-08T11:03:05.044538Z, -36089
2025-02-08T11:03:05.069538Z, -34101
2025-02-08T11:03:05.094538Z, -31987
2025-02-08T11:03:05.119538Z, -32244
2025-02-08T11:03:05.144538Z, -32001
2025-02-08T11:03:05.169538Z, -32281
2025-02-08T11:03:05.194538Z, -32809
2025-02-08T11:03:05.219538Z, -30951
2025-02-08T11:03:05.244538Z, -29608
2025-02-08T11:03:05.269538Z, -31597
2025-02-08T11:03:05.294538Z, -33102
2025-02-08T11:03:05.319538Z, -31135
2025-02-08T11:03:05.344538Z, -29822
2025-02-08T11:03:05.369538Z, -29603
2025-02-08T11:03:05.394538Z, -28632
2025-02-08T11:03:05.419538Z, -28065
2025-02-08T11:03:05.444538Z, -28700
2025-02-08T11:03:05.469538Z, -29395
2025-02-08T11:03:05.494538Z, -28811
2025-02-08T11:03:05.519538Z, -29119
2025-02-08T11:03:05.544538Z, -29336
2025-02-08T11:03:05.569538Z, -28343
2025-02-08T11:03:05.594538Z, -27902
2025-02-08T11:03:05.619538Z, -28830
2025-02-08T11:03:05.644538Z, -30291
2025-02-08T11:03:05.669538Z, -28652
2025-02-08T11:03:05.694538Z, -25671
