# dataset: GeoCSV 2.0
# delimiter: ,
# SID: CU_TGUH_00_BH2
# sample_count: 26400
# sample_rate_hz: 40
# start_time: 2025-03-19T02:47:18.019538Z
# field_unit: UTC, Counts
# field_type: datetime, INTEGER
Time, Sample
2025-03-19T02:47:18.019538Z, 449
2025-03-19T02:47:18.044538Z, 635
2025-03-19T02:47:18.069538Z, 756
2025-03-19T02:47:18.094538Z, 679
2025-03-19T02:47:18.119538Z, 675
2025-03-19T02:47:18.144538Z, 847
2025-03-19T02:47:18.169538Z, 851
2025-03-19T02:47:18.194538Z, 937
2025-03-19T02:47:18.219538Z, 953
2025-03-19T02:47:18.244538Z, 812
2025-03-19T02:47:18.269538Z, 891
2025-03-19T02:47:18.294538Z, 952
2025-03-19T02:47:18.319538Z, 841
2025-03-19T02:47:18.344538Z, 780
2025-03-19T02:47:18.369538Z, 927
2025-03-19T02:47:18.394538Z, 910
2025-03-19T02:47:18.419538Z, 747
2025-03-19T02:47:18.444538Z, 791
2025-03-19T02:47:18.469538Z, 871
2025-03-19T02:47:18.494538Z, 887
2025-03-19T02:47:18.519538Z, 913
2025-03-19T02:47:18.544538Z, 922
2025-03-19T02:47:18.569538Z, 899
2025-03-19T02:47:18.594538Z, 937
2025-03-19T02:47:18.619538Z, 873
2025-03-19T02:47:18.644538Z, 772
2025-03-19T02:47:18.669538Z, 700
2025-03-19T02:47:18.694538Z, 637
2025-03-19T02:47:18.719538Z, 710
2025-03-19T02:47:18.744538Z, 574
2025-03-19T02:47:18.769538Z, 513
2025-03-19T02:47:18.794538Z, 583
2025-03-19T02:47:18.819538Z, 390
2025-03-19T02:47:18.844538Z, 414
2025-03-19T02:47:18.869538Z, 500
2025-03-19T02:47:18.894538Z, 385
2025-03-19T02:47:18.919538Z, 250
2025-03-19T02:47:18.944538Z, 149
2025-03-19T02:47:18.969538Z, 213
2025-03-19T02:47:18.994538Z, 59
2025-03-19T02:47:19.019538Z, 25
2025-03-19T02:47:19.044538Z, 462
2025-03-19T02:47:19.069538Z, 388
2025-03-19T02:47:19.094538Z, 139
2025-03-19T02:47:19.119538Z, 455
