# dataset: GeoCSV 2.0
# delimiter: ,
# SID: CU_TGUH_00_BHZ
# sample_count: 26400
# sample_rate_hz: 40
# start_time: 2025-03-19T02:47:18.019538Z
# field_unit: UTC, Counts
# field_type: datetime, INTEGER
Time, Sample
2025-03-19T02:47:18.019538Z, 3746
2025-03-19T02:47:18.044538Z, 3476
2025-03-19T02:47:18.069538Z, 3425
2025-03-19T02:47:18.094538Z, 3481
2025-03-19T02:47:18.119538Z, 3121
2025-03-19T02:47:18.144538Z, 2886
2025-03-19T02:47:18.169538Z, 2945
2025-03-19T02:47:18.194538Z, 2924
2025-03-19T02:47:18.219538Z, 2870
2025-03-19T02:47:18.244538Z, 2754
2025-03-19T02:47:18.269538Z, 2667
2025-03-19T02:47:18.294538Z, 2734
2025-03-19T02:47:18.319538Z, 2891
2025-03-19T02:47:18.344538Z, 2896
2025-03-19T02:47:18.369538Z, 2925
2025-03-19T02:47:18.394538Z, 3045
2025-03-19T02:47:18.419538Z, 3036
2025-03-19T02:47:18.444538Z, 2885
2025-03-19T02:47:18.469538Z, 2600
2025-03-19T02:47:18.494538Z, 2605
2025-03-19T02:47:18.519538Z, 2631
2025-03-19T02:47:18.544538Z, 2486
2025-03-19T02:47:18.569538Z, 2472
2025-03-19T02:47:18.594538Z, 2449
2025-03-19T02:47:18.619538Z, 2627
2025-03-19T02:47:18.644538Z, 2956
2025-03-19T02:47:18.669538Z, 2904
2025-03-19T02:47:18.694538Z, 2595
2025-03-19T02:47:18.719538Z, 2877
2025-03-19T02:47:18.744538Z, 3133
2025-03-19T02:47:18.769538Z, 2846
2025-03-19T02:47:18.794538Z, 3005
2025-03-19T02:47:18.819538Z, 3131
2025-03-19T02:47:18.844538Z, 2979
2025-03-19T02:47:18.869538Z, 2862
2025-03-19T02:47:18.894538Z, 2624
2025-03-19T02:47:18.919538Z, 2678
2025-03-19T02:47:18.944538Z, 2738
2025-03-19T02:47:18.969538Z, 2803
2025-03-19T02:47:18.994538Z, 2980
2025-03-19T02:47:19.019538Z, 2867
2025-03-19T02:47:19.044538Z, 2889
2025-03-19T02:47:19.069538Z, 3070
2025-03-19T02:47:19.094538Z, 3177
2025-03-19T02:47:19.119538Z, 3173
2025-03-19T02:47:19.144538Z, 3198
2025-03-19T02:47:19.169538Z, 3453
2025-03-19T02:47:19.194538Z, 3506
2025-03-19T02:47:19.219538Z, 3306
2025-03-19T02:47:19.244538Z, 3070
2025-03-19T02:47:19.269538Z, 3100
2025-03-19T02:47:19.294538Z, 3216
2025-03-19T02:47:19.319538Z, 3202
2025-03-19T02:47:19.344538Z, 3138
2025-03-19T02:47:19.369538Z, 3000
2025-03-19T02:47:19.394538Z, 3164
2025-03-19T02:47:19.419538Z, 3142
2025-03-19T02:47:19.444538Z, 3316
2025-03-19T02:47:19.469538Z, 3774
2025-03-19T02:47:19.494538Z, 3434
2025-03-19T02:47:19.519538Z, 3418
2025-03-19T02:47:19.544538Z, 3602
2025-03-19T02:47:19.569538Z, 3170
2025-03-19T02:47:19.594538Z, 3166
2025-03-19T02:47:19.619538Z, 3292
2025-03-19T02:47:19.644538Z, 3182
2025-03-19T02:47:19.669538Z, 3174
2025-03-19T02:47:19.694538Z, 3281
2025-03-19T02:47:19.719538Z, 3253
2025-03-19T02:47:19.744538Z, 3135
2025-03-19T02:47:19.769538Z, 3545
2025-03-19T02:47:19.794538Z, 3585
2025-03-19T02:47:19.819538Z, 3364
2025-03-19T02:47:19.844538Z, 3641
2025-03-19T02:47:19.869538Z, 3542
2025-03-19T02:47:19.894538Z, 3272
2025-03-19T02:47:19.919538Z, 3076
2025-03-19T02:47:19.944538Z, 3292
2025-03-19T02:47:19.969538Z, 3539
2025-03-19T02:47:19.994538Z, 3090
2025-03-19T02:47:20.019538Z, 3126
2025-03-19T02:47:20.044538Z, 3340
2025-03-19T02:47:20.069538Z, 3335
2025-03-19T02:47:20.094538Z, 3418
2025-03-19T02:47:20.119538Z, 3375
2025-03-19T02:47:20.144538Z, 3502
