# dataset: GeoCSV 2.0
# delimiter: ,
# SID: IU_POHA_00_BH1
# sample_count: 26400
# sample_rate_hz: 40
# start_time: 2025-01-12T13:19:36.019539Z
# field_unit: UTC, Counts
# field_type: datetime, INTEGER
Time, Sample
2025-01-12T13:19:36.019539Z, 694
2025-01-12T13:19:36.044539Z, 746
2025-01-12T13:19:36.069539Z, 790
2025-01-12T13:19:36.094539Z, 789
2025-01-12T13:19:36.119539Z, 784
2025-01-12T13:19:36.144539Z, 777
2025-01-12T13:19:36.169539Z, 750
2025-01-12T13:19:36.194539Z, 682
2025-01-12T13:19:36.219539Z, 578
2025-01-12T13:19:36.244539Z, 514
2025-01-12T13:19:36.269539Z, 406
2025-01-12T13:19:36.294539Z, 267
2025-01-12T13:19:36.319539Z, 126
2025-01-12T13:19:36.344539Z, -77
2025-01-12T13:19:36.369539Z, -266
2025-01-12T13:19:36.394539Z, -455
2025-01-12T13:19:36.419539Z, -637
2025-01-12T13:19:36.444539Z, -822
2025-01-12T13:19:36.469539Z, -1062
2025-01-12T13:19:36.494539Z, -1261
2025-01-12T13:19:36.519539Z, -1458
2025-01-12T13:19:36.544539Z, -1689
2025-01-12T13:19:36.569539Z, -1886
2025-01-12T13:19:36.594539Z, -2034
2025-01-12T13:19:36.619539Z, -2184
2025-01-12T13:19:36.644539Z, -2335
2025-01-12T13:19:36.669539Z, -2416
2025-01-12T13:19:36.694539Z, -2490
2025-01-12T13:19:36.719539Z, -2554
2025-01-12T13:19:36.744539Z, -2597
2025-01-12T13:19:36.769539Z, -2604
2025-01-12T13:19:36.794539Z, -2578
2025-01-12T13:19:36.819539Z, -2551
2025-01-12T13:19:36.844539Z, -2452
2025-01-12T13:19:36.869539Z, -2318
2025-01-12T13:19:36.894539Z, -2224
2025-01-12T13:19:36.919539Z, -2117
2025-01-12T13:19:36.944539Z, -1956
2025-01-12T13:19:36.969539Z, -1802
2025-01-12T13:19:36.994539Z, -1636
2025-01-12T13:19:37.019539Z, -1489
2025-01-12T13:19:37.044539Z, -1328
2025-01-12T13:19:37.069539Z, -1119
2025-01-12T13:19:37.094539Z, -1004
2025-01-12T13:19:37.119539Z, -862
2025-01-12T13:19:37.144539Z, -686
2025-01-12T13:19:37.169539Z, -563
2025-01-12T13:19:37.194539Z, -430
2025-01-12T13:19:37.219539Z, -342
2025-01-12T13:19:37.244539Z, -246
2025-01-12T13:19:37.269539Z, -162
2025-01-12T13:19:37.294539Z, -110
2025-01-12T13:19:37.319539Z, -50
2025-01-12T13:19:37.344539Z, -40
2025-01-12T13:19:37.369539Z, -25
2025-01-12T13:19:37.394539Z, -17
2025-01-12T13:19:37.419539Z, -40
2025-01-12T13:19:37.444539Z, -95
2025-01-12T13:19:37.469539Z, -186
2025-01-12T13:19:37.494539Z, -243
2025-01-12T13:19:37.519539Z, -310
2025-01-12T13:19:37.544539Z, -426
2025-01-12T13:19:37.569539Z, -560
2025-01-12T13:19:37.594539Z, -656
2025-01-12T13:19:37.619539Z, -765
2025-01-12T13:19:37.644539Z, -918
2025-01-12T13:19:37.669539Z, -1035
2025-01-12T13:19:37.694539Z, -1173
2025-01-12T13:19:37.719539Z, -1312
2025-01-12T13:19:37.744539Z, -1434
2025-01-12T13:19:37.769539Z, -1540
2025-01-12T13:19:37.794539Z, -1629
2025-01-12T13:19:37.819539Z, -1761
2025-01-12T13:19:37.844539Z, -1846
2025-01-12T13:19:37.869539Z, -1914
2025-01-12T13:19:37.894539Z, -2002
2025-01-12T13:19:37.919539Z, -2066
2025-01-12T13:19:37.944539Z, -2114
2025-01-12T13:19:37.969539Z, -2153
2025-01-12T13:19:37.994539Z, -2189
2025-01-12T13:19:38.019539Z, -2219
2025-01-12T13:19:38.044539Z, -2307
2025-01-12T13:19:38.069539Z, -2339
2025-01-12T13:19:38.094539Z, -2384
2025-01-12T13:19:38.119539Z, -2437
2025-01-12T13:19:38.144539Z, -2458
2025-01-12T13:19:38.169539Z, -2571
2025-01-12T13:19:38.194539Z, -2621
2025-01-12T13:19:38.219539Z, -2693
2025-01-12T13:19:38.244539Z, -2791
2025-01-12T13:19:38.269539Z, -2871
2025-01-12T13:19:38.294539Z, -2997
2025-01-12T13:19:38.319539Z, -3085
2025-01-12T13:19:38.344539Z, -3168
2025-01-12T13:19:38.369539Z, -3274
2025-01-12T13:19:38.394539Z, -3392
2025-01-12T13:19:38.419539Z, -3494
2025-01-12T13:19:38.444539Z, -3605
2025-01-12T13:19:38.469539Z, -3689
2025-01-12T13:19:38.494539Z, -3777
2025-01-12T13:19:38.519539Z, -3885
2025-01-12T13:19:38.544539Z, -3921
2025-01-12T13:19:38.569539Z, -4015
2025-01-12T13:19:38.594539Z, -4073
2025-01-12T13:19:38.619539Z, -4061
2025-01-12T13:19:38.644539Z, -4085
