# dataset: GeoCSV 2.0
# delimiter: ,
# SID: IU_MAJO_10_BHZ
# sample_count: 26400
# sample_rate_hz: 40
# start_time: 2024-01-01T07:09:31.019538Z
# field_unit: UTC, Counts
# field_type: datetime, INTEGER
Time, Sample
2024-01-01T07:09:31.019538Z, -26494
2024-01-01T07:09:31.044538Z, -27530
2024-01-01T07:09:31.069538Z, -27009
2024-01-01T07:09:31.094538Z, -26597
2024-01-01T07:09:31.119538Z, -27249
2024-01-01T07:09:31.144538Z, -27627
2024-01-01T07:09:31.169538Z, -26299
2024-01-01T07:09:31.194538Z, -25434
2024-01-01T07:09:31.219538Z, -25337
2024-01-01T07:09:31.244538Z, -25405
2024-01-01T07:09:31.269538Z, -25183
2024-01-01T07:09:31.294538Z, -23644
2024-01-01T07:09:31.319538Z, -23179
2024-01-01T07:09:31.344538Z, -23259
2024-01-01T07:09:31.369538Z, -21862
2024-01-01T07:09:31.394538Z, -21045
2024-01-01T07:09:31.419538Z, -21298
2024-01-01T07:09:31.444538Z, -23495
2024-01-01T07:09:31.469538Z, -27169
2024-01-01T07:09:31.494538Z, -27247
2024-01-01T07:09:31.519538Z, -24021
2024-01-01T07:09:31.544538Z, -22065
2024-01-01T07:09:31.569538Z, -20485
2024-01-01T07:09:31.594538Z, -18906
2024-01-01T07:09:31.619538Z, -19009
2024-01-01T07:09:31.644538Z, -18686
2024-01-01T07:09:31.669538Z, -17881
2024-01-01T07:09:31.694538Z, -17320
2024-01-01T07:09:31.719538Z, -15344
2024-01-01T07:09:31.744538Z, -12398
2024-01-01T07:09:31.769538Z, -10447
2024-01-01T07:09:31.794538Z, -10434
2024-01-01T07:09:31.819538Z, -10369
2024-01-01T07:09:31.844538Z, -10192
2024-01-01T07:09:31.869538Z, -11180
2024-01-01T07:09:31.894538Z, -11367
2024-01-01T07:09:31.919538Z, -12010
2024-01-01T07:09:31.944538Z, -14480
2024-01-01T07:09:31.969538Z, -16223
2024-01-01T07:09:31.994538Z, -16580
2024-01-01T07:09:32.019538Z, -16109
2024-01-01T07:09:32.044538Z, -14120
2024-01-01T07:09:32.069538Z, -10699
2024-01-01T07:09:32.094538Z, -7334
2024-01-01T07:09:32.119538Z, -4820
2024-01-01T07:09:32.144538Z, -2568
2024-01-01T07:09:32.169538Z, -971
2024-01-01T07:09:32.194538Z, -143
2024-01-01T07:09:32.219538Z, 947
2024-01-01T07:09:32.244538Z, 513
2024-01-01T07:09:32.269538Z, -1964
2024-01-01T07:09:32.294538Z, -5109
2024-01-01T07:09:32.319538Z, -8363
2024-01-01T07:09:32.344538Z, -10681
2024-01-01T07:09:32.369538Z, -12566
2024-01-01T07:09:32.394538Z, -13962
2024-01-01T07:09:32.419538Z, -15477
2024-01-01T07:09:32.444538Z, -18372
2024-01-01T07:09:32.469538Z, -20968
2024-01-01T07:09:32.494538Z, -22019
2024-01-01T07:09:32.519538Z, -20875
2024-01-01T07:09:32.544538Z, -18224
2024-01-01T07:09:32.569538Z, -15994
2024-01-01T07:09:32.594538Z, -13628
2024-01-01T07:09:32.619538Z, -11522
2024-01-01T07:09:32.644538Z, -9868
2024-01-01T07:09:32.669538Z, -7517
2024-01-01T07:09:32.694538Z, -4937
2024-01-01T07:09:32.719538Z, -969
2024-01-01T07:09:32.744538Z, 3537
2024-01-01T07:09:32.769538Z, 5743
2024-01-01T07:09:32.794538Z, 6631
2024-01-01T07:09:32.819538Z, 6939
2024-01-01T07:09:32.844538Z, 8385
2024-01-01T07:09:32.869538Z, 12131
2024-01-01T07:09:32.894538Z, 14064
2024-01-01T07:09:32.919538Z, 14523
2024-01-01T07:09:32.944538Z, 15997
2024-01-01T07:09:32.969538Z, 16148
2024-01-01T07:09:32.994538Z, 16025
2024-01-01T07:09:33.019538Z, 18038
2024-01-01T07:09:33.044538Z, 21197
2024-01-01T07:09:33.069538Z, 24818
2024-01-01T07:09:33.094538Z, 28209
2024-01-01T07:09:33.119538Z, 31023
2024-01-01T07:09:33.144538Z, 33731
2024-01-01T07:09:33.169538Z, 36166
2024-01-01T07:09:33.194538Z, 37998
2024-01-01T07:09:33.219538Z, 38810
2024-01-01T07:09:33.244538Z, 40124
