# dataset: GeoCSV 2.0
# delimiter: ,
# SID: IU_MAJO_60_BH1
# sample_count: 26400
# sample_rate_hz: 40
# start_time: 2024-01-01T07:09:31.019538Z
# field_unit: UTC, Counts
# field_type: datetime, INTEGER
Time, Sample
2024-01-01T07:09:31.019538Z, 94614
2024-01-01T07:09:31.044538Z, 101463
2024-01-01T07:09:31.069538Z, 103711
2024-01-01T07:09:31.094538Z, 103088
2024-01-01T07:09:31.119538Z, 108775
2024-01-01T07:09:31.144538Z, 118651
2024-01-01T07:09:31.169538Z, 134396
2024-01-01T07:09:31.194538Z, 154225
2024-01-01T07:09:31.219538Z, 165151
2024-01-01T07:09:31.244538Z, 166896
2024-01-01T07:09:31.269538Z, 168782
2024-01-01T07:09:31.294538Z, 175340
2024-01-01T07:09:31.319538Z, 183338
2024-01-01T07:09:31.344538Z, 182021
2024-01-01T07:09:31.369538Z, 169526
2024-01-01T07:09:31.394538Z, 157518
2024-01-01T07:09:31.419538Z, 149702
2024-01-01T07:09:31.444538Z, 145997
2024-01-01T07:09:31.469538Z, 141555
2024-01-01T07:09:31.494538Z, 127914
2024-01-01T07:09:31.519538Z, 117433
2024-01-01T07:09:31.544538Z, 116814
2024-01-01T07:09:31.569538Z, 116637
2024-01-01T07:09:31.594538Z, 114507
2024-01-01T07:09:31.619538Z, 105517
2024-01-01T07:09:31.644538Z, 92491
2024-01-01T07:09:31.669538Z, 83844
2024-01-01T07:09:31.694538Z, 75718
2024-01-01T07:09:31.719538Z, 68100
2024-01-01T07:09:31.744538Z, 61952
2024-01-01T07:09:31.769538Z, 56241
2024-01-01T07:09:31.794538Z, 47745
2024-01-01T07:09:31.819538Z, 34897
2024-01-01T07:09:31.844538Z, 26544
2024-01-01T07:09:31.869538Z, 16555
2024-01-01T07:09:31.894538Z, 3775
2024-01-01T07:09:31.919538Z, -3057
2024-01-01T07:09:31.944538Z, -14540
2024-01-01T07:09:31.969538Z, -29132
2024-01-01T07:09:31.994538Z, -38870
2024-01-01T07:09:32.019538Z, -49834
2024-01-01T07:09:32.044538Z, -61363
2024-01-01T07:09:32.069538Z, -69316
2024-01-01T07:09:32.094538Z, -74791
2024-01-01T07:09:32.119538Z, -77806
2024-01-01T07:09:32.144538Z, -77319
2024-01-01T07:09:32.169538Z, -78794
2024-01-01T07:09:32.194538Z, -84301
2024-01-01T07:09:32.219538Z, -85204
2024-01-01T07:09:32.244538Z, -81188
2024-01-01T07:09:32.269538Z, -77126
2024-01-01T07:09:32.294538Z, -72437
2024-01-01T07:09:32.319538Z, -65966
2024-01-01T07:09:32.344538Z, -58299
2024-01-01T07:09:32.369538Z, -56529
2024-01-01T07:09:32.394538Z, -58459
2024-01-01T07:09:32.419538Z, -52600
2024-01-01T07:09:32.444538Z, -40674
2024-01-01T07:09:32.469538Z, -28511
2024-01-01T07:09:32.494538Z, -16962
2024-01-01T07:09:32.519538Z, -6256
2024-01-01T07:09:32.544538Z, 2416
2024-01-01T07:09:32.569538Z, 5112
2024-01-01T07:09:32.594538Z, 2547
2024-01-01T07:09:32.619538Z, 3947
2024-01-01T07:09:32.644538Z, 9097
2024-01-01T07:09:32.669538Z, 7004
2024-01-01T07:09:32.694538Z, -6270
2024-01-01T07:09:32.719538Z, -22343
2024-01-01T07:09:32.744538Z, -32565
2024-01-01T07:09:32.769538Z, -44662
2024-01-01T07:09:32.794538Z, -59417
2024-01-01T07:09:32.819538Z, -68307
2024-01-01T07:09:32.844538Z, -75167
2024-01-01T07:09:32.869538Z, -78404
2024-01-01T07:09:32.894538Z, -80226
2024-01-01T07:09:32.919538Z, -86422
2024-01-01T07:09:32.944538Z, -91168
2024-01-01T07:09:32.969538Z, -97029
2024-01-01T07:09:32.994538Z, -104541
2024-01-01T07:09:33.019538Z, -107381
2024-01-01T07:09:33.044538Z, -109515
2024-01-01T07:09:33.069538Z, -115990
2024-01-01T07:09:33.094538Z, -126278
2024-01-01T07:09:33.119538Z, -134312
2024-01-01T07:09:33.144538Z, -136499
2024-01-01T07:09:33.169538Z, -132980
2024-01-01T07:09:33.194538Z, -124266
2024-01-01T07:09:33.219538Z, -118433
2024-01-01T07:09:33.244538Z, -116433
2024-01-01T07:09:33.269538Z, -111804
2024-01-01T07:09:33.294538Z, -102268
2024-01-01T07:09:33.319538Z, -86480
2024-01-01T07:09:33.344538Z, -73384
2024-01-01T07:09:33.369538Z, -70409
2024-01-01T07:09:33.394538Z, -68807
2024-01-01T07:09:33.419538Z, -62301
2024-01-01T07:09:33.444538Z, -54876
2024-01-01T07:09:33.469538Z, -48659
2024-01-01T07:09:33.494538Z, -42657
2024-01-01T07:09:33.519538Z, -40968
2024-01-01T07:09:33.544538Z, -43879
2024-01-01T07:09:33.569538Z, -44682
2024-01-01T07:09:33.594538Z, -43774
2024-01-01T07:09:33.619538Z, -44045
2024-01-01T07:09:33.644538Z, -44207
2024-01-01T07:09:33.669538Z, -44079
2024-01-01T07:09:33.694538Z, -43987
2024-01-01T07:09:33.719538Z, -43903
2024-01-01T07:09:33.744538Z, -44271
2024-01-01T07:09:33.769538Z, -45353
2024-01-01T07:09:33.794538Z, -48019
2024-01-01T07:09:33.819538Z, -49994
2024-01-01T07:09:33.844538Z, -48864
2024-01-01T07:09:33.869538Z, -47732
2024-01-01T07:09:33.894538Z, -46915
2024-01-01T07:09:33.919538Z, -47661
2024-01-01T07:09:33.944538Z, -52307
2024-01-01T07:09:33.969538Z, -57149
2024-01-01T07:09:33.994538Z, -56961
2024-01-01T07:09:34.019538Z, -46819
2024-01-01T07:09:34.044538Z, -33272
2024-01-01T07:09:34.069538Z, -28472
2024-01-01T07:09:34.094538Z, -29678
2024-01-01T07:09:34.119538Z, -27767
2024-01-01T07:09:34.144538Z, -21385
2024-01-01T07:09:34.169538Z, -16756
2024-01-01T07:09:34.194538Z, -17135
2024-01-01T07:09:34.219538Z, -22202
2024-01-01T07:09:34.244538Z, -31764
2024-01-01T07:09:34.269538Z, -39471
2024-01-01T07:09:34.294538Z, -43817
2024-01-01T07:09:34.319538Z, -49101
2024-01-01T07:09:34.344538Z, -53631
2024-01-01T07:09:34.369538Z, -57797
2024-01-01T07:09:34.394538Z, -62641
2024-01-01T07:09:34.419538Z, -63845
2024-01-01T07:09:34.444538Z, -60617
2024-01-01T07:09:34.469538Z, -57841
2024-01-01T07:09:34.494538Z, -60992
2024-01-01T07:09:34.519538Z, -69732
2024-01-01T07:09:34.544538Z, -76275
2024-01-01T07:09:34.569538Z, -80382
2024-01-01T07:09:34.594538Z, -88413
2024-01-01T07:09:34.619538Z, -96794
2024-01-01T07:09:34.644538Z, -102356
2024-01-01T07:09:34.669538Z, -106831
2024-01-01T07:09:34.694538Z, -106580
2024-01-01T07:09:34.719538Z, -105596
2024-01-01T07:09:34.744538Z, -109732
