# dataset: GeoCSV 2.0
# delimiter: ,
# SID: II_KAPI_10_BH1
# sample_count: 26400
# sample_rate_hz: 40
# start_time: 2025-02-01T00:41:37.019536Z
# field_unit: UTC, Counts
# field_type: datetime, INTEGER
Time, Sample
2025-02-01T00:41:37.019536Z, 88
2025-02-01T00:41:37.044536Z, 13
2025-02-01T00:41:37.069536Z, 252
2025-02-01T00:41:37.094536Z, 151
2025-02-01T00:41:37.119536Z, 257
2025-02-01T00:41:37.144536Z, 255
2025-02-01T00:41:37.169536Z, 146
2025-02-01T00:41:37.194536Z, 401
2025-02-01T00:41:37.219536Z, 240
2025-02-01T00:41:37.244536Z, 312
2025-02-01T00:41:37.269536Z, 418
2025-02-01T00:41:37.294536Z, 145
2025-02-01T00:41:37.319536Z, 322
2025-02-01T00:41:37.344536Z, 337
2025-02-01T00:41:37.369536Z, 210
2025-02-01T00:41:37.394536Z, 313
2025-02-01T00:41:37.419536Z, 190
2025-02-01T00:41:37.444536Z, 245
2025-02-01T00:41:37.469536Z, 329
2025-02-01T00:41:37.494536Z, 313
2025-02-01T00:41:37.519536Z, 258
2025-02-01T00:41:37.544536Z, 192
2025-02-01T00:41:37.569536Z, 318
2025-02-01T00:41:37.594536Z, 312
2025-02-01T00:41:37.619536Z, 195
2025-02-01T00:41:37.644536Z, 164
2025-02-01T00:41:37.669536Z, 249
2025-02-01T00:41:37.694536Z, 257
2025-02-01T00:41:37.719536Z, 130
2025-02-01T00:41:37.744536Z, 134
2025-02-01T00:41:37.769536Z, 194
2025-02-01T00:41:37.794536Z, 189
2025-02-01T00:41:37.819536Z, 152
2025-02-01T00:41:37.844536Z, 78
2025-02-01T00:41:37.869536Z, 210
2025-02-01T00:41:37.894536Z, 239
2025-02-01T00:41:37.919536Z, 11
2025-02-01T00:41:37.944536Z, 107
2025-02-01T00:41:37.969536Z, 135
2025-02-01T00:41:37.994536Z, -46
2025-02-01T00:41:38.019536Z, 22
2025-02-01T00:41:38.044536Z, -53
2025-02-01T00:41:38.069536Z, -64
2025-02-01T00:41:38.094536Z, -2
2025-02-01T00:41:38.119536Z, -206
2025-02-01T00:41:38.144536Z, -218
2025-02-01T00:41:38.169536Z, -147
2025-02-01T00:41:38.194536Z, -165
2025-02-01T00:41:38.219536Z, -132
2025-02-01T00:41:38.244536Z, -33
2025-02-01T00:41:38.269536Z, -58
2025-02-01T00:41:38.294536Z, -189
2025-02-01T00:41:38.319536Z, -134
2025-02-01T00:41:38.344536Z, -183
2025-02-01T00:41:38.369536Z, -145
2025-02-01T00:41:38.394536Z, -100
2025-02-01T00:41:38.419536Z, -323
2025-02-01T00:41:38.444536Z, -160
2025-02-01T00:41:38.469536Z, -220
2025-02-01T00:41:38.494536Z, -254
2025-02-01T00:41:38.519536Z, -40
2025-02-01T00:41:38.544536Z, -286
2025-02-01T00:41:38.569536Z, -107
2025-02-01T00:41:38.594536Z, -78
2025-02-01T00:41:38.619536Z, -228
2025-02-01T00:41:38.644536Z, 15
2025-02-01T00:41:38.669536Z, -155
2025-02-01T00:41:38.694536Z, -136
2025-02-01T00:41:38.719536Z, -117
2025-02-01T00:41:38.744536Z, -210
2025-02-01T00:41:38.769536Z, -68
2025-02-01T00:41:38.794536Z, -221
2025-02-01T00:41:38.819536Z, -77
2025-02-01T00:41:38.844536Z, -89
2025-02-01T00:41:38.869536Z, -253
2025-02-01T00:41:38.894536Z, -177
2025-02-01T00:41:38.919536Z, -309
2025-02-01T00:41:38.944536Z, -147
2025-02-01T00:41:38.969536Z, -155
2025-02-01T00:41:38.994536Z, -237
2025-02-01T00:41:39.019536Z, -131
2025-02-01T00:41:39.044536Z, -298
2025-02-01T00:41:39.069536Z, -211
2025-02-01T00:41:39.094536Z, -212
2025-02-01T00:41:39.119536Z, -326
2025-02-01T00:41:39.144536Z, -150
2025-02-01T00:41:39.169536Z, -178
2025-02-01T00:41:39.194536Z, -198
2025-02-01T00:41:39.219536Z, -71
2025-02-01T00:41:39.244536Z, -19
2025-02-01T00:41:39.269536Z, -113
2025-02-01T00:41:39.294536Z, -139
2025-02-01T00:41:39.319536Z, -100
2025-02-01T00:41:39.344536Z, -141
2025-02-01T00:41:39.369536Z, -104
