# dataset: GeoCSV 2.0
# delimiter: ,
# SID: II_KAPI_10_BHZ
# sample_count: 26400
# sample_rate_hz: 40
# start_time: 2025-02-01T00:41:37.019536Z
# field_unit: UTC, Counts
# field_type: datetime, INTEGER
Time, Sample
2025-02-01T00:41:37.019536Z, -1122
2025-02-01T00:41:37.044536Z, -1196
2025-02-01T00:41:37.069536Z, -1107
2025-02-01T00:41:37.094536Z, -1280
2025-02-01T00:41:37.119536Z, -1049
2025-02-01T00:41:37.144536Z, -966
2025-02-01T00:41:37.169536Z, -1123
2025-02-01T00:41:37.194536Z, -941
2025-02-01T00:41:37.219536Z, -1066
2025-02-01T00:41:37.244536Z, -964
2025-02-01T00:41:37.269536Z, -1005
2025-02-01T00:41:37.294536Z, -1210
2025-02-01T00:41:37.319536Z, -869
2025-02-01T00:41:37.344536Z, -1070
2025-02-01T00:41:37.369536Z, -1232
2025-02-01T00:41:37.394536Z, -1023
2025-02-01T00:41:37.419536Z, -1092
2025-02-01T00:41:37.444536Z, -1057
2025-02-01T00:41:37.469536Z, -1136
2025-02-01T00:41:37.494536Z, -1231
2025-02-01T00:41:37.519536Z, -1249
2025-02-01T00:41:37.544536Z, -1213
2025-02-01T00:41:37.569536Z, -1207
2025-02-01T00:41:37.594536Z, -1390
2025-02-01T00:41:37.619536Z, -1233
2025-02-01T00:41:37.644536Z, -1273
2025-02-01T00:41:37.669536Z, -1439
2025-02-01T00:41:37.694536Z, -1229
2025-02-01T00:41:37.719536Z, -1380
2025-02-01T00:41:37.744536Z, -1444
2025-02-01T00:41:37.769536Z, -1331
2025-02-01T00:41:37.794536Z, -1453
2025-02-01T00:41:37.819536Z, -1330
2025-02-01T00:41:37.844536Z, -1333
2025-02-01T00:41:37.869536Z, -1361
2025-02-01T00:41:37.894536Z, -1214
2025-02-01T00:41:37.919536Z, -1293
2025-02-01T00:41:37.944536Z, -1200
2025-02-01T00:41:37.969536Z, -1213
2025-02-01T00:41:37.994536Z, -1340
2025-02-01T00:41:38.019536Z, -1236
2025-02-01T00:41:38.044536Z, -1381
2025-02-01T00:41:38.069536Z, -1353
2025-02-01T00:41:38.094536Z, -1217
2025-02-01T00:41:38.119536Z, -1296
2025-02-01T00:41:38.144536Z, -1205
2025-02-01T00:41:38.169536Z, -1303
2025-02-01T00:41:38.194536Z, -1266
2025-02-01T00:41:38.219536Z, -1102
2025-02-01T00:41:38.244536Z, -1241
2025-02-01T00:41:38.269536Z, -1162
2025-02-01T00:41:38.294536Z, -1197
2025-02-01T00:41:38.319536Z, -1246
2025-02-01T00:41:38.344536Z, -1165
2025-02-01T00:41:38.369536Z, -1248
2025-02-01T00:41:38.394536Z, -1087
2025-02-01T00:41:38.419536Z, -1099
2025-02-01T00:41:38.444536Z, -1221
2025-02-01T00:41:38.469536Z, -1181
2025-02-01T00:41:38.494536Z, -1192
2025-02-01T00:41:38.519536Z, -1118
2025-02-01T00:41:38.544536Z, -1149
2025-02-01T00:41:38.569536Z, -1064
2025-02-01T00:41:38.594536Z, -1041
2025-02-01T00:41:38.619536Z, -1142
2025-02-01T00:41:38.644536Z, -1048
2025-02-01T00:41:38.669536Z, -1161
2025-02-01T00:41:38.694536Z, -1147
2025-02-01T00:41:38.719536Z, -1073
2025-02-01T00:41:38.744536Z, -1148
2025-02-01T00:41:38.769536Z, -1087
2025-02-01T00:41:38.794536Z, -1206
2025-02-01T00:41:38.819536Z, -1180
2025-02-01T00:41:38.844536Z, -1202
2025-02-01T00:41:38.869536Z, -1330
2025-02-01T00:41:38.894536Z, -1096
2025-02-01T00:41:38.919536Z, -1141
2025-02-01T00:41:38.944536Z, -1281
2025-02-01T00:41:38.969536Z, -1230
2025-02-01T00:41:38.994536Z, -1236
2025-02-01T00:41:39.019536Z, -1084
2025-02-01T00:41:39.044536Z, -1062
2025-02-01T00:41:39.069536Z, -1146
2025-02-01T00:41:39.094536Z, -1095
2025-02-01T00:41:39.119536Z, -1143
2025-02-01T00:41:39.144536Z, -1064
2025-02-01T00:41:39.169536Z, -1018
2025-02-01T00:41:39.194536Z, -1004
2025-02-01T00:41:39.219536Z, -878
2025-02-01T00:41:39.244536Z, -937
2025-02-01T00:41:39.269536Z, -915
2025-02-01T00:41:39.294536Z, -952
2025-02-01T00:41:39.319536Z, -965
2025-02-01T00:41:39.344536Z, -746
2025-02-01T00:41:39.369536Z, -789
2025-02-01T00:41:39.394536Z, -832
2025-02-01T00:41:39.419536Z, -823
2025-02-01T00:41:39.444536Z, -905
2025-02-01T00:41:39.469536Z, -840
2025-02-01T00:41:39.494536Z, -848
2025-02-01T00:41:39.519536Z, -847
2025-02-01T00:41:39.544536Z, -849
2025-02-01T00:41:39.569536Z, -900
2025-02-01T00:41:39.594536Z, -900
2025-02-01T00:41:39.619536Z, -934
2025-02-01T00:41:39.644536Z, -887
2025-02-01T00:41:39.669536Z, -801
2025-02-01T00:41:39.694536Z, -782
2025-02-01T00:41:39.719536Z, -837
2025-02-01T00:41:39.744536Z, -900
2025-02-01T00:41:39.769536Z, -862
2025-02-01T00:41:39.794536Z, -785
2025-02-01T00:41:39.819536Z, -765
2025-02-01T00:41:39.844536Z, -770
2025-02-01T00:41:39.869536Z, -774
2025-02-01T00:41:39.894536Z, -775
2025-02-01T00:41:39.919536Z, -810
2025-02-01T00:41:39.944536Z, -840
2025-02-01T00:41:39.969536Z, -861
2025-02-01T00:41:39.994536Z, -841
2025-02-01T00:41:40.019536Z, -791
2025-02-01T00:41:40.044536Z, -810
2025-02-01T00:41:40.069536Z, -837
2025-02-01T00:41:40.094536Z, -944
2025-02-01T00:41:40.119536Z, -953
2025-02-01T00:41:40.144536Z, -925
2025-02-01T00:41:40.169536Z, -995
2025-02-01T00:41:40.194536Z, -1016
2025-02-01T00:41:40.219536Z, -1112
2025-02-01T00:41:40.244536Z, -1132
2025-02-01T00:41:40.269536Z, -1116
2025-02-01T00:41:40.294536Z, -1195
2025-02-01T00:41:40.319536Z, -1164
2025-02-01T00:41:40.344536Z, -1068
2025-02-01T00:41:40.369536Z, -1082
2025-02-01T00:41:40.394536Z, -1271
2025-02-01T00:41:40.419536Z, -1305
2025-02-01T00:41:40.444536Z, -1092
2025-02-01T00:41:40.469536Z, -1156
2025-02-01T00:41:40.494536Z, -1188
2025-02-01T00:41:40.519536Z, -987
2025-02-01T00:41:40.544536Z, -1105
2025-02-01T00:41:40.569536Z, -1155
2025-02-01T00:41:40.594536Z, -1067
2025-02-01T00:41:40.619536Z, -1101
2025-02-01T00:41:40.644536Z, -980
2025-02-01T00:41:40.669536Z, -911
2025-02-01T00:41:40.694536Z, -901
2025-02-01T00:41:40.719536Z, -974
2025-02-01T00:41:40.744536Z, -1043
2025-02-01T00:41:40.769536Z, -864
2025-02-01T00:41:40.794536Z, -948
2025-02-01T00:41:40.819536Z, -1020
2025-02-01T00:41:40.844536Z, -872
2025-02-01T00:41:40.869536Z, -902
2025-02-01T00:41:40.894536Z, -836
2025-02-01T00:41:40.919536Z, -864
2025-02-01T00:41:40.944536Z, -960
2025-02-01T00:41:40.969536Z, -824
2025-02-01T00:41:40.994536Z, -787
2025-02-01T00:41:41.019536Z, -869
2025-02-01T00:41:41.044536Z, -969
2025-02-01T00:41:41.069536Z, -905
2025-02-01T00:41:41.094536Z, -751
2025-02-01T00:41:41.119536Z, -921
2025-02-01T00:41:41.144536Z, -935
2025-02-01T00:41:41.169536Z, -719
2025-02-01T00:41:41.194536Z, -823
2025-02-01T00:41:41.219536Z, -922
2025-02-01T00:41:41.244536Z, -862
2025-02-01T00:41:41.269536Z, -856
2025-02-01T00:41:41.294536Z, -887
2025-02-01T00:41:41.319536Z, -893
2025-02-01T00:41:41.344536Z, -839
2025-02-01T00:41:41.369536Z, -999
2025-02-01T00:41:41.394536Z, -1133
2025-02-01T00:41:41.419536Z, -983
2025-02-01T00:41:41.444536Z, -1119
2025-02-01T00:41:41.469536Z, -1199
2025-02-01T00:41:41.494536Z, -1037
2025-02-01T00:41:41.519536Z, -1237
2025-02-01T00:41:41.544536Z, -1279
2025-02-01T00:41:41.569536Z, -1203
2025-02-01T00:41:41.594536Z, -1428
2025-02-01T00:41:41.619536Z, -1406
2025-02-01T00:41:41.644536Z, -1360
2025-02-01T00:41:41.669536Z, -1489
2025-02-01T00:41:41.694536Z, -1437
2025-02-01T00:41:41.719536Z, -1423
2025-02-01T00:41:41.744536Z, -1359
2025-02-01T00:41:41.769536Z, -1370
2025-02-01T00:41:41.794536Z, -1519
2025-02-01T00:41:41.819536Z, -1441
2025-02-01T00:41:41.844536Z, -1555
2025-02-01T00:41:41.869536Z, -1662
2025-02-01T00:41:41.894536Z, -1521
2025-02-01T00:41:41.919536Z, -1491
2025-02-01T00:41:41.944536Z, -1393
2025-02-01T00:41:41.969536Z, -1380
2025-02-01T00:41:41.994536Z, -1519
2025-02-01T00:41:42.019536Z, -1517
2025-02-01T00:41:42.044536Z, -1491
2025-02-01T00:41:42.069536Z, -1461
2025-02-01T00:41:42.094536Z, -1459
2025-02-01T00:41:42.119536Z, -1482
2025-02-01T00:41:42.144536Z, -1358
2025-02-01T00:41:42.169536Z, -1458
2025-02-01T00:41:42.194536Z, -1548
2025-02-01T00:41:42.219536Z, -1463
2025-02-01T00:41:42.244536Z, -1586
2025-02-01T00:41:42.269536Z, -1472
2025-02-01T00:41:42.294536Z, -1397
2025-02-01T00:41:42.319536Z, -1504
2025-02-01T00:41:42.344536Z, -1473
2025-02-01T00:41:42.369536Z, -1513
2025-02-01T00:41:42.394536Z, -1452
2025-02-01T00:41:42.419536Z, -1476
2025-02-01T00:41:42.444536Z, -1407
2025-02-01T00:41:42.469536Z, -1185
2025-02-01T00:41:42.494536Z, -1436
2025-02-01T00:41:42.519536Z, -1557
2025-02-01T00:41:42.544536Z, -1343
2025-02-01T00:41:42.569536Z, -1514
2025-02-01T00:41:42.594536Z, -1566
2025-02-01T00:41:42.619536Z, -1164
2025-02-01T00:41:42.644536Z, -1103
2025-02-01T00:41:42.669536Z, -1421
2025-02-01T00:41:42.694536Z, -1467
2025-02-01T00:41:42.719536Z, -1198
2025-02-01T00:41:42.744536Z, -1180
2025-02-01T00:41:42.769536Z, -1354
2025-02-01T00:41:42.794536Z, -1230
2025-02-01T00:41:42.819536Z, -1161
2025-02-01T00:41:42.844536Z, -1371
2025-02-01T00:41:42.869536Z, -1353
2025-02-01T00:41:42.894536Z, -1153
2025-02-01T00:41:42.919536Z, -1198
2025-02-01T00:41:42.944536Z, -1211
2025-02-01T00:41:42.969536Z, -1041
2025-02-01T00:41:42.994536Z, -1076
2025-02-01T00:41:43.019536Z, -1244
2025-02-01T00:41:43.044536Z, -1169
2025-02-01T00:41:43.069536Z, -944
2025-02-01T00:41:43.094536Z, -948
2025-02-01T00:41:43.119536Z, -1008
2025-02-01T00:41:43.144536Z, -785
2025-02-01T00:41:43.169536Z, -747
2025-02-01T00:41:43.194536Z, -927
2025-02-01T00:41:43.219536Z, -802
2025-02-01T00:41:43.244536Z, -703
2025-02-01T00:41:43.269536Z, -739
2025-02-01T00:41:43.294536Z, -697
2025-02-01T00:41:43.319536Z, -607
2025-02-01T00:41:43.344536Z, -614
2025-02-01T00:41:43.369536Z, -702
2025-02-01T00:41:43.394536Z, -555
2025-02-01T00:41:43.419536Z, -614
2025-02-01T00:41:43.444536Z, -718
2025-02-01T00:41:43.469536Z, -486
2025-02-01T00:41:43.494536Z, -601
2025-02-01T00:41:43.519536Z, -746
2025-02-01T00:41:43.544536Z, -611
2025-02-01T00:41:43.569536Z, -676
2025-02-01T00:41:43.594536Z, -595
2025-02-01T00:41:43.619536Z, -585
2025-02-01T00:41:43.644536Z, -793
2025-02-01T00:41:43.669536Z, -713
2025-02-01T00:41:43.694536Z, -730
2025-02-01T00:41:43.719536Z, -674
2025-02-01T00:41:43.744536Z, -580
2025-02-01T00:41:43.769536Z, -622
2025-02-01T00:41:43.794536Z, -583
2025-02-01T00:41:43.819536Z, -738
2025-02-01T00:41:43.844536Z, -693
2025-02-01T00:41:43.869536Z, -591
2025-02-01T00:41:43.894536Z, -806
2025-02-01T00:41:43.919536Z, -789
2025-02-01T00:41:43.944536Z, -736
2025-02-01T00:41:43.969536Z, -807
2025-02-01T00:41:43.994536Z, -523
2025-02-01T00:41:44.019536Z, -639
2025-02-01T00:41:44.044536Z, -1034
2025-02-01T00:41:44.069536Z, -691
2025-02-01T00:41:44.094536Z, -596
2025-02-01T00:41:44.119536Z, -903
2025-02-01T00:41:44.144536Z, -907
2025-02-01T00:41:44.169536Z, -851
2025-02-01T00:41:44.194536Z, -845
2025-02-01T00:41:44.219536Z, -921
2025-02-01T00:41:44.244536Z, -897
2025-02-01T00:41:44.269536Z, -814
2025-02-01T00:41:44.294536Z, -878
2025-02-01T00:41:44.319536Z, -824
2025-02-01T00:41:44.344536Z, -888
2025-02-01T00:41:44.369536Z, -1057
2025-02-01T00:41:44.394536Z, -832
2025-02-01T00:41:44.419536Z, -799
2025-02-01T00:41:44.444536Z, -973
2025-02-01T00:41:44.469536Z, -783
2025-02-01T00:41:44.494536Z, -707
2025-02-01T00:41:44.519536Z, -937
2025-02-01T00:41:44.544536Z, -873
2025-02-01T00:41:44.569536Z, -707
2025-02-01T00:41:44.594536Z, -839
2025-02-01T00:41:44.619536Z, -826
2025-02-01T00:41:44.644536Z, -735
2025-02-01T00:41:44.669536Z, -749
2025-02-01T00:41:44.694536Z, -880
2025-02-01T00:41:44.719536Z, -986
2025-02-01T00:41:44.744536Z, -820
2025-02-01T00:41:44.769536Z, -846
2025-02-01T00:41:44.794536Z, -967
2025-02-01T00:41:44.819536Z, -834
2025-02-01T00:41:44.844536Z, -895
2025-02-01T00:41:44.869536Z, -1054
2025-02-01T00:41:44.894536Z, -1060
2025-02-01T00:41:44.919536Z, -1109
2025-02-01T00:41:44.944536Z, -1092
2025-02-01T00:41:44.969536Z, -1054
2025-02-01T00:41:44.994536Z, -1037
2025-02-01T00:41:45.019536Z, -1119
2025-02-01T00:41:45.044536Z, -1284
2025-02-01T00:41:45.069536Z, -1162
2025-02-01T00:41:45.094536Z, -1076
2025-02-01T00:41:45.119536Z, -1198
2025-02-01T00:41:45.144536Z, -1133
2025-02-01T00:41:45.169536Z, -1046
2025-02-01T00:41:45.194536Z, -1085
2025-02-01T00:41:45.219536Z, -1247
2025-02-01T00:41:45.244536Z, -1267
2025-02-01T00:41:45.269536Z, -1048
2025-02-01T00:41:45.294536Z, -1076
2025-02-01T00:41:45.319536Z, -1101
2025-02-01T00:41:45.344536Z, -1114
2025-02-01T00:41:45.369536Z, -1335
2025-02-01T00:41:45.394536Z, -1190
2025-02-01T00:41:45.419536Z, -1055
2025-02-01T00:41:45.444536Z, -1328
2025-02-01T00:41:45.469536Z, -1223
2025-02-01T00:41:45.494536Z, -1101
2025-02-01T00:41:45.519536Z, -1238
2025-02-01T00:41:45.544536Z, -1299
