# dataset: GeoCSV 2.0
# delimiter: ,
# SID: IU_CHTO_00_BHZ
# sample_count: 26400
# sample_rate_hz: 40
# start_time: 2025-03-28T06:20:56.019538Z
# field_unit: UTC, Counts
# field_type: datetime, INTEGER
Time, Sample
2025-03-28T06:20:56.019538Z, 1470
2025-03-28T06:20:56.044538Z, 1472
2025-03-28T06:20:56.069538Z, 1520
2025-03-28T06:20:56.094538Z, 1512
2025-03-28T06:20:56.119538Z, 1490
2025-03-28T06:20:56.144538Z, 1520
2025-03-28T06:20:56.169538Z, 1514
2025-03-28T06:20:56.194538Z, 1493
2025-03-28T06:20:56.219538Z, 1541
2025-03-28T06:20:56.244538Z, 1569
2025-03-28T06:20:56.269538Z, 1534
2025-03-28T06:20:56.294538Z, 1553
2025-03-28T06:20:56.319538Z, 1581
2025-03-28T06:20:56.344538Z, 1550
2025-03-28T06:20:56.369538Z, 1500
2025-03-28T06:20:56.394538Z, 1482
2025-03-28T06:20:56.419538Z, 1530
2025-03-28T06:20:56.444538Z, 1508
2025-03-28T06:20:56.469538Z, 1444
2025-03-28T06:20:56.494538Z, 1446
2025-03-28T06:20:56.519538Z, 1478
2025-03-28T06:20:56.544538Z, 1501
2025-03-28T06:20:56.569538Z, 1449
2025-03-28T06:20:56.594538Z, 1500
2025-03-28T06:20:56.619538Z, 1571
2025-03-28T06:20:56.644538Z, 1502
2025-03-28T06:20:56.669538Z, 1565
2025-03-28T06:20:56.694538Z, 1637
2025-03-28T06:20:56.719538Z, 1526
2025-03-28T06:20:56.744538Z, 1496
2025-03-28T06:20:56.769538Z, 1573
2025-03-28T06:20:56.794538Z, 1576
2025-03-28T06:20:56.819538Z, 1510
2025-03-28T06:20:56.844538Z, 1496
2025-03-28T06:20:56.869538Z, 1536
2025-03-28T06:20:56.894538Z, 1525
2025-03-28T06:20:56.919538Z, 1543
2025-03-28T06:20:56.944538Z, 1534
2025-03-28T06:20:56.969538Z, 1499
2025-03-28T06:20:56.994538Z, 1545
2025-03-28T06:20:57.019538Z, 1558
2025-03-28T06:20:57.044538Z, 1545
2025-03-28T06:20:57.069538Z, 1532
2025-03-28T06:20:57.094538Z, 1543
2025-03-28T06:20:57.119538Z, 1533
2025-03-28T06:20:57.144538Z, 1528
2025-03-28T06:20:57.169538Z, 1599
2025-03-28T06:20:57.194538Z, 1584
2025-03-28T06:20:57.219538Z, 1596
2025-03-28T06:20:57.244538Z, 1624
2025-03-28T06:20:57.269538Z, 1561
2025-03-28T06:20:57.294538Z, 1572
2025-03-28T06:20:57.319538Z, 1587
2025-03-28T06:20:57.344538Z, 1594
