# dataset: GeoCSV 2.0
# delimiter: ,
# SID: IU_CHTO_10_BH2
# sample_count: 26400
# sample_rate_hz: 40
# start_time: 2025-03-28T06:20:56.019538Z
# field_unit: UTC, Counts
# field_type: datetime, INTEGER
Time, Sample
2025-03-28T06:20:56.019538Z, 22599367
2025-03-28T06:20:56.044538Z, 22598789
2025-03-28T06:20:56.069538Z, 22598068
2025-03-28T06:20:56.094538Z, 22598746
2025-03-28T06:20:56.119538Z, 22599044
2025-03-28T06:20:56.144538Z, 22598728
2025-03-28T06:20:56.169538Z, 22599975
2025-03-28T06:20:56.194538Z, 22601004
2025-03-28T06:20:56.219538Z, 22600079
2025-03-28T06:20:56.244538Z, 22599205
2025-03-28T06:20:56.269538Z, 22599190
2025-03-28T06:20:56.294538Z, 22599568
2025-03-28T06:20:56.319538Z, 22599605
2025-03-28T06:20:56.344538Z, 22598812
2025-03-28T06:20:56.369538Z, 22599084
2025-03-28T06:20:56.394538Z, 22599510
2025-03-28T06:20:56.419538Z, 22598387
2025-03-28T06:20:56.444538Z, 22598561
2025-03-28T06:20:56.469538Z, 22599178
2025-03-28T06:20:56.494538Z, 22598356
2025-03-28T06:20:56.519538Z, 22598152
2025-03-28T06:20:56.544538Z, 22598160
2025-03-28T06:20:56.569538Z, 22598044
2025-03-28T06:20:56.594538Z, 22597733
2025-03-28T06:20:56.619538Z, 22597343
2025-03-28T06:20:56.644538Z, 22598424
2025-03-28T06:20:56.669538Z, 22598718
2025-03-28T06:20:56.694538Z, 22597724
2025-03-28T06:20:56.719538Z, 22598190
2025-03-28T06:20:56.744538Z, 22599209
2025-03-28T06:20:56.769538Z, 22599367
2025-03-28T06:20:56.794538Z, 22599526
2025-03-28T06:20:56.819538Z, 22599130
2025-03-28T06:20:56.844538Z, 22598951
2025-03-28T06:20:56.869538Z, 22599662
2025-03-28T06:20:56.894538Z, 22598454
2025-03-28T06:20:56.919538Z, 22598274
2025-03-28T06:20:56.944538Z, 22599033
2025-03-28T06:20:56.969538Z, 22598284
2025-03-28T06:20:56.994538Z, 22599642
2025-03-28T06:20:57.019538Z, 22600067
2025-03-28T06:20:57.044538Z, 22599959
2025-03-28T06:20:57.069538Z, 22601764
2025-03-28T06:20:57.094538Z, 22601743
2025-03-28T06:20:57.119538Z, 22601300
2025-03-28T06:20:57.144538Z, 22600898
2025-03-28T06:20:57.169538Z, 22600309
2025-03-28T06:20:57.194538Z, 22601079
2025-03-28T06:20:57.219538Z, 22600771
2025-03-28T06:20:57.244538Z, 22599357
