# dataset: GeoCSV 2.0
# delimiter: ,
# SID: CU_TGUH_00_BH1
# sample_count: 26400
# sample_rate_hz: 40
# start_time: 2025-02-08T23:23:41.019538Z
# field_unit: UTC, Counts
# field_type: datetime, INTEGER
Time, Sample
2025-02-08T23:23:41.019538Z, -618
2025-02-08T23:23:41.044538Z, -844
2025-02-08T23:23:41.069538Z, -1044
2025-02-08T23:23:41.094538Z, -833
2025-02-08T23:23:41.119538Z, -737
2025-02-08T23:23:41.144538Z, -642
2025-02-08T23:23:41.169538Z, -467
2025-02-08T23:23:41.194538Z, -486
2025-02-08T23:23:41.219538Z, -522
2025-02-08T23:23:41.244538Z, -348
2025-02-08T23:23:41.269538Z, -166
2025-02-08T23:23:41.294538Z, -301
2025-02-08T23:23:41.319538Z, -273
2025-02-08T23:23:41.344538Z, -94
2025-02-08T23:23:41.369538Z, -169
2025-02-08T23:23:41.394538Z, -183
2025-02-08T23:23:41.419538Z, -132
2025-02-08T23:23:41.444538Z, -143
2025-02-08T23:23:41.469538Z, -129
2025-02-08T23:23:41.494538Z, -128
2025-02-08T23:23:41.519538Z, -160
2025-02-08T23:23:41.544538Z, -71
2025-02-08T23:23:41.569538Z, 20
2025-02-08T23:23:41.594538Z, 37
2025-02-08T23:23:41.619538Z, 29
2025-02-08T23:23:41.644538Z, -64
2025-02-08T23:23:41.669538Z, 112
2025-02-08T23:23:41.694538Z, 358
2025-02-08T23:23:41.719538Z, 279
2025-02-08T23:23:41.744538Z, 235
2025-02-08T23:23:41.769538Z, 241
2025-02-08T23:23:41.794538Z, 69
2025-02-08T23:23:41.819538Z, -41
2025-02-08T23:23:41.844538Z, -21
2025-02-08T23:23:41.869538Z, -94
2025-02-08T23:23:41.894538Z, -143
2025-02-08T23:23:41.919538Z, -167
2025-02-08T23:23:41.944538Z, -183
2025-02-08T23:23:41.969538Z, -105
2025-02-08T23:23:41.994538Z, -194
2025-02-08T23:23:42.019538Z, -335
2025-02-08T23:23:42.044538Z, -285
2025-02-08T23:23:42.069538Z, -263
2025-02-08T23:23:42.094538Z, -359
2025-02-08T23:23:42.119538Z, -387
2025-02-08T23:23:42.144538Z, -470
2025-02-08T23:23:42.169538Z, -709
2025-02-08T23:23:42.194538Z, -808
2025-02-08T23:23:42.219538Z, -820
2025-02-08T23:23:42.244538Z, -791
2025-02-08T23:23:42.269538Z, -797
2025-02-08T23:23:42.294538Z, -928
2025-02-08T23:23:42.319538Z, -961
2025-02-08T23:23:42.344538Z, -1082
2025-02-08T23:23:42.369538Z, -1063
2025-02-08T23:23:42.394538Z, -945
2025-02-08T23:23:42.419538Z, -1288
2025-02-08T23:23:42.444538Z, -1312
2025-02-08T23:23:42.469538Z, -1217
2025-02-08T23:23:42.494538Z, -1454
2025-02-08T23:23:42.519538Z, -1307
2025-02-08T23:23:42.544538Z, -1375
2025-02-08T23:23:42.569538Z, -1521
2025-02-08T23:23:42.594538Z, -1279
2025-02-08T23:23:42.619538Z, -1371
2025-02-08T23:23:42.644538Z, -1541
2025-02-08T23:23:42.669538Z, -1452
2025-02-08T23:23:42.694538Z, -1449
2025-02-08T23:23:42.719538Z, -1486
2025-02-08T23:23:42.744538Z, -1558
2025-02-08T23:23:42.769538Z, -1775
2025-02-08T23:23:42.794538Z, -1789
2025-02-08T23:23:42.819538Z, -1721
2025-02-08T23:23:42.844538Z, -1778
2025-02-08T23:23:42.869538Z, -1813
2025-02-08T23:23:42.894538Z, -1776
2025-02-08T23:23:42.919538Z, -1707
2025-02-08T23:23:42.944538Z, -1805
2025-02-08T23:23:42.969538Z, -1855
2025-02-08T23:23:42.994538Z, -1786
2025-02-08T23:23:43.019538Z, -1778
2025-02-08T23:23:43.044538Z, -1789
2025-02-08T23:23:43.069538Z, -1775
2025-02-08T23:23:43.094538Z, -1866
2025-02-08T23:23:43.119538Z, -2057
2025-02-08T23:23:43.144538Z, -1993
2025-02-08T23:23:43.169538Z, -1876
2025-02-08T23:23:43.194538Z, -1877
2025-02-08T23:23:43.219538Z, -1820
2025-02-08T23:23:43.244538Z, -1917
2025-02-08T23:23:43.269538Z, -1913
2025-02-08T23:23:43.294538Z, -1748
2025-02-08T23:23:43.319538Z, -1874
2025-02-08T23:23:43.344538Z, -1896
2025-02-08T23:23:43.369538Z, -1767
2025-02-08T23:23:43.394538Z, -1880
2025-02-08T23:23:43.419538Z, -2025
2025-02-08T23:23:43.444538Z, -1901
2025-02-08T23:23:43.469538Z, -1684
2025-02-08T23:23:43.494538Z, -1990
2025-02-08T23:23:43.519538Z, -2140
2025-02-08T23:23:43.544538Z, -1791
2025-02-08T23:23:43.569538Z, -1893
2025-02-08T23:23:43.594538Z, -2029
2025-02-08T23:23:43.619538Z, -2074
2025-02-08T23:23:43.644538Z, -2000
2025-02-08T23:23:43.669538Z, -1657
2025-02-08T23:23:43.694538Z, -1761
2025-02-08T23:23:43.719538Z, -1570
2025-02-08T23:23:43.744538Z, -1253
2025-02-08T23:23:43.769538Z, -1684
2025-02-08T23:23:43.794538Z, -1680
2025-02-08T23:23:43.819538Z, -1214
2025-02-08T23:23:43.844538Z, -1309
2025-02-08T23:23:43.869538Z, -1472
2025-02-08T23:23:43.894538Z, -1229
2025-02-08T23:23:43.919538Z, -1220
2025-02-08T23:23:43.944538Z, -1343
2025-02-08T23:23:43.969538Z, -1245
2025-02-08T23:23:43.994538Z, -1288
2025-02-08T23:23:44.019538Z, -1276
2025-02-08T23:23:44.044538Z, -1279
2025-02-08T23:23:44.069538Z, -1368
2025-02-08T23:23:44.094538Z, -1160
2025-02-08T23:23:44.119538Z, -870
2025-02-08T23:23:44.144538Z, -711
2025-02-08T23:23:44.169538Z, -604
2025-02-08T23:23:44.194538Z, -626
2025-02-08T23:23:44.219538Z, -759
2025-02-08T23:23:44.244538Z, -760
2025-02-08T23:23:44.269538Z, -676
2025-02-08T23:23:44.294538Z, -594
2025-02-08T23:23:44.319538Z, -653
2025-02-08T23:23:44.344538Z, -798
2025-02-08T23:23:44.369538Z, -801
2025-02-08T23:23:44.394538Z, -785
2025-02-08T23:23:44.419538Z, -690
2025-02-08T23:23:44.444538Z, -547
2025-02-08T23:23:44.469538Z, -601
2025-02-08T23:23:44.494538Z, -611
2025-02-08T23:23:44.519538Z, -401
2025-02-08T23:23:44.544538Z, -251
2025-02-08T23:23:44.569538Z, -240
2025-02-08T23:23:44.594538Z, -244
2025-02-08T23:23:44.619538Z, -353
2025-02-08T23:23:44.644538Z, -626
2025-02-08T23:23:44.669538Z, -638
2025-02-08T23:23:44.694538Z, -568
2025-02-08T23:23:44.719538Z, -794
2025-02-08T23:23:44.744538Z, -780
2025-02-08T23:23:44.769538Z, -655
2025-02-08T23:23:44.794538Z, -802
2025-02-08T23:23:44.819538Z, -768
2025-02-08T23:23:44.844538Z, -644
2025-02-08T23:23:44.869538Z, -778
2025-02-08T23:23:44.894538Z, -755
2025-02-08T23:23:44.919538Z, -715
2025-02-08T23:23:44.944538Z, -972
2025-02-08T23:23:44.969538Z, -949
2025-02-08T23:23:44.994538Z, -795
2025-02-08T23:23:45.019538Z, -943
2025-02-08T23:23:45.044538Z, -932
2025-02-08T23:23:45.069538Z, -808
2025-02-08T23:23:45.094538Z, -869
2025-02-08T23:23:45.119538Z, -818
2025-02-08T23:23:45.144538Z, -751
2025-02-08T23:23:45.169538Z, -814
2025-02-08T23:23:45.194538Z, -909
2025-02-08T23:23:45.219538Z, -939
2025-02-08T23:23:45.244538Z, -753
2025-02-08T23:23:45.269538Z, -866
2025-02-08T23:23:45.294538Z, -1171
2025-02-08T23:23:45.319538Z, -1006
2025-02-08T23:23:45.344538Z, -799
2025-02-08T23:23:45.369538Z, -905
2025-02-08T23:23:45.394538Z, -904
2025-02-08T23:23:45.419538Z, -782
2025-02-08T23:23:45.444538Z, -946
2025-02-08T23:23:45.469538Z, -782
2025-02-08T23:23:45.494538Z, -480
2025-02-08T23:23:45.519538Z, -874
2025-02-08T23:23:45.544538Z, -937
2025-02-08T23:23:45.569538Z, -689
2025-02-08T23:23:45.594538Z, -976
2025-02-08T23:23:45.619538Z, -1063
2025-02-08T23:23:45.644538Z, -1033
2025-02-08T23:23:45.669538Z, -1210
2025-02-08T23:23:45.694538Z, -1071
2025-02-08T23:23:45.719538Z, -978
2025-02-08T23:23:45.744538Z, -1045
2025-02-08T23:23:45.769538Z, -978
2025-02-08T23:23:45.794538Z, -977
2025-02-08T23:23:45.819538Z, -923
2025-02-08T23:23:45.844538Z, -906
2025-02-08T23:23:45.869538Z, -1104
2025-02-08T23:23:45.894538Z, -1039
2025-02-08T23:23:45.919538Z, -761
2025-02-08T23:23:45.944538Z, -868
2025-02-08T23:23:45.969538Z, -1077
2025-02-08T23:23:45.994538Z, -1010
2025-02-08T23:23:46.019538Z, -908
2025-02-08T23:23:46.044538Z, -968
2025-02-08T23:23:46.069538Z, -1128
2025-02-08T23:23:46.094538Z, -1119
2025-02-08T23:23:46.119538Z, -1040
2025-02-08T23:23:46.144538Z, -1078
2025-02-08T23:23:46.169538Z, -1123
2025-02-08T23:23:46.194538Z, -1082
2025-02-08T23:23:46.219538Z, -1072
2025-02-08T23:23:46.244538Z, -1166
2025-02-08T23:23:46.269538Z, -996
2025-02-08T23:23:46.294538Z, -906
2025-02-08T23:23:46.319538Z, -1237
2025-02-08T23:23:46.344538Z, -1270
2025-02-08T23:23:46.369538Z, -999
2025-02-08T23:23:46.394538Z, -997
2025-02-08T23:23:46.419538Z, -1079
2025-02-08T23:23:46.444538Z, -1025
2025-02-08T23:23:46.469538Z, -1072
2025-02-08T23:23:46.494538Z, -941
2025-02-08T23:23:46.519538Z, -694
2025-02-08T23:23:46.544538Z, -916
2025-02-08T23:23:46.569538Z, -974
2025-02-08T23:23:46.594538Z, -816
2025-02-08T23:23:46.619538Z, -1064
2025-02-08T23:23:46.644538Z, -1088
2025-02-08T23:23:46.669538Z, -921
2025-02-08T23:23:46.694538Z, -1039
2025-02-08T23:23:46.719538Z, -1045
2025-02-08T23:23:46.744538Z, -879
2025-02-08T23:23:46.769538Z, -992
2025-02-08T23:23:46.794538Z, -1270
2025-02-08T23:23:46.819538Z, -1024
2025-02-08T23:23:46.844538Z, -760
2025-02-08T23:23:46.869538Z, -1142
2025-02-08T23:23:46.894538Z, -1258
2025-02-08T23:23:46.919538Z, -1042
2025-02-08T23:23:46.944538Z, -1129
2025-02-08T23:23:46.969538Z, -1197
2025-02-08T23:23:46.994538Z, -1186
2025-02-08T23:23:47.019538Z, -1145
2025-02-08T23:23:47.044538Z, -1136
2025-02-08T23:23:47.069538Z, -1209
2025-02-08T23:23:47.094538Z, -1111
2025-02-08T23:23:47.119538Z, -950
2025-02-08T23:23:47.144538Z, -924
2025-02-08T23:23:47.169538Z, -994
2025-02-08T23:23:47.194538Z, -1005
2025-02-08T23:23:47.219538Z, -1005
2025-02-08T23:23:47.244538Z, -1028
2025-02-08T23:23:47.269538Z, -976
2025-02-08T23:23:47.294538Z, -874
2025-02-08T23:23:47.319538Z, -882
2025-02-08T23:23:47.344538Z, -1035
2025-02-08T23:23:47.369538Z, -1186
2025-02-08T23:23:47.394538Z, -1145
2025-02-08T23:23:47.419538Z, -1024
2025-02-08T23:23:47.444538Z, -1114
2025-02-08T23:23:47.469538Z, -1037
2025-02-08T23:23:47.494538Z, -906
2025-02-08T23:23:47.519538Z, -1030
2025-02-08T23:23:47.544538Z, -805
2025-02-08T23:23:47.569538Z, -692
2025-02-08T23:23:47.594538Z, -973
2025-02-08T23:23:47.619538Z, -985
2025-02-08T23:23:47.644538Z, -852
2025-02-08T23:23:47.669538Z, -677
2025-02-08T23:23:47.694538Z, -712
2025-02-08T23:23:47.719538Z, -915
2025-02-08T23:23:47.744538Z, -838
2025-02-08T23:23:47.769538Z, -897
2025-02-08T23:23:47.794538Z, -1023
2025-02-08T23:23:47.819538Z, -753
2025-02-08T23:23:47.844538Z, -600
2025-02-08T23:23:47.869538Z, -768
2025-02-08T23:23:47.894538Z, -771
2025-02-08T23:23:47.919538Z, -749
2025-02-08T23:23:47.944538Z, -843
2025-02-08T23:23:47.969538Z, -716
2025-02-08T23:23:47.994538Z, -691
2025-02-08T23:23:48.019538Z, -812
2025-02-08T23:23:48.044538Z, -752
2025-02-08T23:23:48.069538Z, -806
2025-02-08T23:23:48.094538Z, -797
2025-02-08T23:23:48.119538Z, -728
2025-02-08T23:23:48.144538Z, -861
2025-02-08T23:23:48.169538Z, -873
2025-02-08T23:23:48.194538Z, -856
2025-02-08T23:23:48.219538Z, -874
2025-02-08T23:23:48.244538Z, -853
2025-02-08T23:23:48.269538Z, -922
2025-02-08T23:23:48.294538Z, -899
2025-02-08T23:23:48.319538Z, -848
2025-02-08T23:23:48.344538Z, -978
2025-02-08T23:23:48.369538Z, -1028
2025-02-08T23:23:48.394538Z, -871
2025-02-08T23:23:48.419538Z, -915
2025-02-08T23:23:48.444538Z, -1147
2025-02-08T23:23:48.469538Z, -1017
2025-02-08T23:23:48.494538Z, -914
2025-02-08T23:23:48.519538Z, -1167
2025-02-08T23:23:48.544538Z, -1129
2025-02-08T23:23:48.569538Z, -1002
2025-02-08T23:23:48.594538Z, -1124
2025-02-08T23:23:48.619538Z, -1130
2025-02-08T23:23:48.644538Z, -957
2025-02-08T23:23:48.669538Z, -861
2025-02-08T23:23:48.694538Z, -916
2025-02-08T23:23:48.719538Z, -956
2025-02-08T23:23:48.744538Z, -1160
2025-02-08T23:23:48.769538Z, -1155
2025-02-08T23:23:48.794538Z, -960
2025-02-08T23:23:48.819538Z, -1163
2025-02-08T23:23:48.844538Z, -1152
2025-02-08T23:23:48.869538Z, -1057
2025-02-08T23:23:48.894538Z, -1069
2025-02-08T23:23:48.919538Z, -1030
2025-02-08T23:23:48.944538Z, -1146
2025-02-08T23:23:48.969538Z, -994
2025-02-08T23:23:48.994538Z, -885
2025-02-08T23:23:49.019538Z, -990
2025-02-08T23:23:49.044538Z, -1099
2025-02-08T23:23:49.069538Z, -1079
2025-02-08T23:23:49.094538Z, -916
2025-02-08T23:23:49.119538Z, -1111
2025-02-08T23:23:49.144538Z, -1023
2025-02-08T23:23:49.169538Z, -743
2025-02-08T23:23:49.194538Z, -926
2025-02-08T23:23:49.219538Z, -899
2025-02-08T23:23:49.244538Z, -694
2025-02-08T23:23:49.269538Z, -745
2025-02-08T23:23:49.294538Z, -871
2025-02-08T23:23:49.319538Z, -844
2025-02-08T23:23:49.344538Z, -834
2025-02-08T23:23:49.369538Z, -863
2025-02-08T23:23:49.394538Z, -733
2025-02-08T23:23:49.419538Z, -614
2025-02-08T23:23:49.444538Z, -526
2025-02-08T23:23:49.469538Z, -673
2025-02-08T23:23:49.494538Z, -843
2025-02-08T23:23:49.519538Z, -673
2025-02-08T23:23:49.544538Z, -504
2025-02-08T23:23:49.569538Z, -349
2025-02-08T23:23:49.594538Z, -382
2025-02-08T23:23:49.619538Z, -381
2025-02-08T23:23:49.644538Z, -308
2025-02-08T23:23:49.669538Z, -674
2025-02-08T23:23:49.694538Z, -799
2025-02-08T23:23:49.719538Z, -644
2025-02-08T23:23:49.744538Z, -762
2025-02-08T23:23:49.769538Z, -916
2025-02-08T23:23:49.794538Z, -904
2025-02-08T23:23:49.819538Z, -868
2025-02-08T23:23:49.844538Z, -943
2025-02-08T23:23:49.869538Z, -720
2025-02-08T23:23:49.894538Z, -689
2025-02-08T23:23:49.919538Z, -815
2025-02-08T23:23:49.944538Z, -801
2025-02-08T23:23:49.969538Z, -1005
2025-02-08T23:23:49.994538Z, -907
2025-02-08T23:23:50.019538Z, -985
2025-02-08T23:23:50.044538Z, -898
2025-02-08T23:23:50.069538Z, -641
2025-02-08T23:23:50.094538Z, -1023
