# dataset: GeoCSV 2.0
# delimiter: ,
# SID: CU_TGUH_00_BHZ
# sample_count: 26400
# sample_rate_hz: 40
# start_time: 2025-02-08T23:23:41.019538Z
# field_unit: UTC, Counts
# field_type: datetime, INTEGER
Time, Sample
2025-02-08T23:23:41.019538Z, 2076
2025-02-08T23:23:41.044538Z, 1810
2025-02-08T23:23:41.069538Z, 2040
2025-02-08T23:23:41.094538Z, 2474
2025-02-08T23:23:41.119538Z, 2116
2025-02-08T23:23:41.144538Z, 1836
2025-02-08T23:23:41.169538Z, 2116
2025-02-08T23:23:41.194538Z, 2219
2025-02-08T23:23:41.219538Z, 2173
2025-02-08T23:23:41.244538Z, 2269
2025-02-08T23:23:41.269538Z, 2048
2025-02-08T23:23:41.294538Z, 1630
2025-02-08T23:23:41.319538Z, 1934
2025-02-08T23:23:41.344538Z, 2277
2025-02-08T23:23:41.369538Z, 1686
2025-02-08T23:23:41.394538Z, 1635
2025-02-08T23:23:41.419538Z, 2196
2025-02-08T23:23:41.444538Z, 1991
2025-02-08T23:23:41.469538Z, 1832
2025-02-08T23:23:41.494538Z, 2066
2025-02-08T23:23:41.519538Z, 1986
2025-02-08T23:23:41.544538Z, 2024
2025-02-08T23:23:41.569538Z, 2268
2025-02-08T23:23:41.594538Z, 2235
2025-02-08T23:23:41.619538Z, 2192
2025-02-08T23:23:41.644538Z, 1977
2025-02-08T23:23:41.669538Z, 1822
2025-02-08T23:23:41.694538Z, 1986
2025-02-08T23:23:41.719538Z, 1824
2025-02-08T23:23:41.744538Z, 2010
2025-02-08T23:23:41.769538Z, 2135
2025-02-08T23:23:41.794538Z, 1687
2025-02-08T23:23:41.819538Z, 2030
2025-02-08T23:23:41.844538Z, 2384
2025-02-08T23:23:41.869538Z, 2268
2025-02-08T23:23:41.894538Z, 2404
2025-02-08T23:23:41.919538Z, 2258
2025-02-08T23:23:41.944538Z, 1906
2025-02-08T23:23:41.969538Z, 1844
2025-02-08T23:23:41.994538Z, 2097
2025-02-08T23:23:42.019538Z, 2179
2025-02-08T23:23:42.044538Z, 2095
2025-02-08T23:23:42.069538Z, 2179
2025-02-08T23:23:42.094538Z, 2204
2025-02-08T23:23:42.119538Z, 2259
2025-02-08T23:23:42.144538Z, 2075
2025-02-08T23:23:42.169538Z, 1722
2025-02-08T23:23:42.194538Z, 2029
