# dataset: GeoCSV 2.0
# delimiter: ,
# SID: IU_SJG_00_BH1
# sample_count: 26400
# sample_rate_hz: 40
# start_time: 2024-12-09T18:20:40.019538Z
# field_unit: UTC, Counts
# field_type: datetime, INTEGER
Time, Sample
2024-12-09T18:20:40.019538Z, 2116
2024-12-09T18:20:40.044538Z, 1825
2024-12-09T18:20:40.069538Z, 1421
2024-12-09T18:20:40.094538Z, 1393
2024-12-09T18:20:40.119538Z, 1572
2024-12-09T18:20:40.144538Z, 1705
2024-12-09T18:20:40.169538Z, 1978
2024-12-09T18:20:40.194538Z, 1927
2024-12-09T18:20:40.219538Z, 995
2024-12-09T18:20:40.244538Z, 258
2024-12-09T18:20:40.269538Z, 572
2024-12-09T18:20:40.294538Z, 900
2024-12-09T18:20:40.319538Z, 851
2024-12-09T18:20:40.344538Z, 2013
2024-12-09T18:20:40.369538Z, 3359
2024-12-09T18:20:40.394538Z, 3185
2024-12-09T18:20:40.419538Z, 2616
2024-12-09T18:20:40.444538Z, 1825
2024-12-09T18:20:40.469538Z, 607
2024-12-09T18:20:40.494538Z, 36
2024-12-09T18:20:40.519538Z, 651
2024-12-09T18:20:40.544538Z, 1410
2024-12-09T18:20:40.569538Z, 1844
2024-12-09T18:20:40.594538Z, 2485
2024-12-09T18:20:40.619538Z, 3124
2024-12-09T18:20:40.644538Z, 3221
2024-12-09T18:20:40.669538Z, 2554
2024-12-09T18:20:40.694538Z, 1888
2024-12-09T18:20:40.719538Z, 1259
2024-12-09T18:20:40.744538Z, 805
2024-12-09T18:20:40.769538Z, 1433
2024-12-09T18:20:40.794538Z, 2072
2024-12-09T18:20:40.819538Z, 1907
2024-12-09T18:20:40.844538Z, 1727
2024-12-09T18:20:40.869538Z, 1738
2024-12-09T18:20:40.894538Z, 1482
2024-12-09T18:20:40.919538Z, 1466
2024-12-09T18:20:40.944538Z, 2083
2024-12-09T18:20:40.969538Z, 2225
2024-12-09T18:20:40.994538Z, 1928
2024-12-09T18:20:41.019538Z, 1852
2024-12-09T18:20:41.044538Z, 1465
2024-12-09T18:20:41.069538Z, 1165
2024-12-09T18:20:41.094538Z, 1519
2024-12-09T18:20:41.119538Z, 1488
2024-12-09T18:20:41.144538Z, 942
2024-12-09T18:20:41.169538Z, 856
2024-12-09T18:20:41.194538Z, 560
2024-12-09T18:20:41.219538Z, 259
2024-12-09T18:20:41.244538Z, 1194
2024-12-09T18:20:41.269538Z, 1967
2024-12-09T18:20:41.294538Z, 2024
2024-12-09T18:20:41.319538Z, 2251
2024-12-09T18:20:41.344538Z, 1682
2024-12-09T18:20:41.369538Z, 619
2024-12-09T18:20:41.394538Z, 623
2024-12-09T18:20:41.419538Z, 766
2024-12-09T18:20:41.444538Z, 448
2024-12-09T18:20:41.469538Z, 744
