# dataset: GeoCSV 2.0
# delimiter: ,
# SID: IU_SJG_10_BHZ
# sample_count: 26400
# sample_rate_hz: 40
# start_time: 2024-12-09T18:20:40.019538Z
# field_unit: UTC, Counts
# field_type: datetime, INTEGER
Time, Sample
2024-12-09T18:20:40.019538Z, 14177
2024-12-09T18:20:40.044538Z, 16176
2024-12-09T18:20:40.069538Z, 13408
2024-12-09T18:20:40.094538Z, 13396
2024-12-09T18:20:40.119538Z, 10900
2024-12-09T18:20:40.144538Z, 9975
2024-12-09T18:20:40.169538Z, 5081
2024-12-09T18:20:40.194538Z, 190
2024-12-09T18:20:40.219538Z, 14340
2024-12-09T18:20:40.244538Z, 26750
2024-12-09T18:20:40.269538Z, 21420
2024-12-09T18:20:40.294538Z, 17072
2024-12-09T18:20:40.319538Z, 17814
2024-12-09T18:20:40.344538Z, 5635
2024-12-09T18:20:40.369538Z, -8566
2024-12-09T18:20:40.394538Z, 3960
2024-12-09T18:20:40.419538Z, 7877
2024-12-09T18:20:40.444538Z, -3383
2024-12-09T18:20:40.469538Z, 15761
2024-12-09T18:20:40.494538Z, 28552
2024-12-09T18:20:40.519538Z, 10122
2024-12-09T18:20:40.544538Z, 6232
2024-12-09T18:20:40.569538Z, 13031
2024-12-09T18:20:40.594538Z, 1802
2024-12-09T18:20:40.619538Z, -6506
2024-12-09T18:20:40.644538Z, 1256
2024-12-09T18:20:40.669538Z, 363
2024-12-09T18:20:40.694538Z, 828
2024-12-09T18:20:40.719538Z, 18897
2024-12-09T18:20:40.744538Z, 22679
2024-12-09T18:20:40.769538Z, 7970
2024-12-09T18:20:40.794538Z, 845
2024-12-09T18:20:40.819538Z, -399
2024-12-09T18:20:40.844538Z, -336
2024-12-09T18:20:40.869538Z, 2882
2024-12-09T18:20:40.894538Z, 5617
2024-12-09T18:20:40.919538Z, 12585
2024-12-09T18:20:40.944538Z, 14583
2024-12-09T18:20:40.969538Z, 3746
2024-12-09T18:20:40.994538Z, 4014
2024-12-09T18:20:41.019538Z, 10701
2024-12-09T18:20:41.044538Z, 4084
2024-12-09T18:20:41.069538Z, 3862
2024-12-09T18:20:41.094538Z, 9999
2024-12-09T18:20:41.119538Z, 3454
2024-12-09T18:20:41.144538Z, 5997
2024-12-09T18:20:41.169538Z, 17132
2024-12-09T18:20:41.194538Z, 16886
2024-12-09T18:20:41.219538Z, 22284
2024-12-09T18:20:41.244538Z, 22332
2024-12-09T18:20:41.269538Z, 3915
2024-12-09T18:20:41.294538Z, -2904
2024-12-09T18:20:41.319538Z, 2401
2024-12-09T18:20:41.344538Z, 2351
2024-12-09T18:20:41.369538Z, 9524
2024-12-09T18:20:41.394538Z, 23199
2024-12-09T18:20:41.419538Z, 23463
2024-12-09T18:20:41.444538Z, 21262
2024-12-09T18:20:41.469538Z, 21590
2024-12-09T18:20:41.494538Z, 15492
2024-12-09T18:20:41.519538Z, 15201
2024-12-09T18:20:41.544538Z, 13981
2024-12-09T18:20:41.569538Z, 9972
2024-12-09T18:20:41.594538Z, 8751
2024-12-09T18:20:41.619538Z, 10869
2024-12-09T18:20:41.644538Z, 23100
2024-12-09T18:20:41.669538Z, 26486
2024-12-09T18:20:41.694538Z, 20846
2024-12-09T18:20:41.719538Z, 17664
2024-12-09T18:20:41.744538Z, 9935
2024-12-09T18:20:41.769538Z, 8302
2024-12-09T18:20:41.794538Z, 16041
2024-12-09T18:20:41.819538Z, 24784
2024-12-09T18:20:41.844538Z, 36310
2024-12-09T18:20:41.869538Z, 39203
2024-12-09T18:20:41.894538Z, 26862
2024-12-09T18:20:41.919538Z, 15221
2024-12-09T18:20:41.944538Z, 11989
2024-12-09T18:20:41.969538Z, 11112
2024-12-09T18:20:41.994538Z, 10529
2024-12-09T18:20:42.019538Z, 19694
2024-12-09T18:20:42.044538Z, 33530
2024-12-09T18:20:42.069538Z, 38436
2024-12-09T18:20:42.094538Z, 36680
2024-12-09T18:20:42.119538Z, 27765
2024-12-09T18:20:42.144538Z, 21425
2024-12-09T18:20:42.169538Z, 17406
2024-12-09T18:20:42.194538Z, 16238
2024-12-09T18:20:42.219538Z, 25583
2024-12-09T18:20:42.244538Z, 29140
2024-12-09T18:20:42.269538Z, 36681
2024-12-09T18:20:42.294538Z, 46070
2024-12-09T18:20:42.319538Z, 40192
2024-12-09T18:20:42.344538Z, 28224
2024-12-09T18:20:42.369538Z, 27325
2024-12-09T18:20:42.394538Z, 32953
2024-12-09T18:20:42.419538Z, 21350
2024-12-09T18:20:42.444538Z, 15934
2024-12-09T18:20:42.469538Z, 30318
2024-12-09T18:20:42.494538Z, 37597
2024-12-09T18:20:42.519538Z, 41354
2024-12-09T18:20:42.544538Z, 45294
2024-12-09T18:20:42.569538Z, 40424
2024-12-09T18:20:42.594538Z, 35384
2024-12-09T18:20:42.619538Z, 32840
2024-12-09T18:20:42.644538Z, 26877
2024-12-09T18:20:42.669538Z, 23727
2024-12-09T18:20:42.694538Z, 32763
2024-12-09T18:20:42.719538Z, 41469
2024-12-09T18:20:42.744538Z, 40221
2024-12-09T18:20:42.769538Z, 36466
2024-12-09T18:20:42.794538Z, 33304
2024-12-09T18:20:42.819538Z, 23408
2024-12-09T18:20:42.844538Z, 14566
2024-12-09T18:20:42.869538Z, 22942
2024-12-09T18:20:42.894538Z, 26169
2024-12-09T18:20:42.919538Z, 24611
2024-12-09T18:20:42.944538Z, 35808
2024-12-09T18:20:42.969538Z, 42373
2024-12-09T18:20:42.994538Z, 38175
2024-12-09T18:20:43.019538Z, 34129
2024-12-09T18:20:43.044538Z, 26561
2024-12-09T18:20:43.069538Z, 12078
2024-12-09T18:20:43.094538Z, 9999
2024-12-09T18:20:43.119538Z, 21705
2024-12-09T18:20:43.144538Z, 29961
2024-12-09T18:20:43.169538Z, 26551
2024-12-09T18:20:43.194538Z, 19820
2024-12-09T18:20:43.219538Z, 18643
2024-12-09T18:20:43.244538Z, 15545
2024-12-09T18:20:43.269538Z, 14641
2024-12-09T18:20:43.294538Z, 21455
2024-12-09T18:20:43.319538Z, 23375
2024-12-09T18:20:43.344538Z, 20822
2024-12-09T18:20:43.369538Z, 25126
2024-12-09T18:20:43.394538Z, 21609
2024-12-09T18:20:43.419538Z, 13877
2024-12-09T18:20:43.444538Z, 13518
2024-12-09T18:20:43.469538Z, 9523
2024-12-09T18:20:43.494538Z, 6218
2024-12-09T18:20:43.519538Z, 2201
2024-12-09T18:20:43.544538Z, 276
2024-12-09T18:20:43.569538Z, 7539
2024-12-09T18:20:43.594538Z, 17037
2024-12-09T18:20:43.619538Z, 19724
2024-12-09T18:20:43.644538Z, 13472
2024-12-09T18:20:43.669538Z, 8338
2024-12-09T18:20:43.694538Z, 6543
2024-12-09T18:20:43.719538Z, 2639
2024-12-09T18:20:43.744538Z, 2782
2024-12-09T18:20:43.769538Z, 9086
2024-12-09T18:20:43.794538Z, 5535
2024-12-09T18:20:43.819538Z, -1362
2024-12-09T18:20:43.844538Z, 3862
2024-12-09T18:20:43.869538Z, 10746
2024-12-09T18:20:43.894538Z, 5483
2024-12-09T18:20:43.919538Z, -4698
2024-12-09T18:20:43.944538Z, -6936
2024-12-09T18:20:43.969538Z, -7535
2024-12-09T18:20:43.994538Z, -5646
2024-12-09T18:20:44.019538Z, 6333
2024-12-09T18:20:44.044538Z, 17037
2024-12-09T18:20:44.069538Z, 16829
2024-12-09T18:20:44.094538Z, 14549
2024-12-09T18:20:44.119538Z, 5386
2024-12-09T18:20:44.144538Z, -10371
2024-12-09T18:20:44.169538Z, -9724
2024-12-09T18:20:44.194538Z, -559
2024-12-09T18:20:44.219538Z, 5044
2024-12-09T18:20:44.244538Z, 7335
2024-12-09T18:20:44.269538Z, 4847
2024-12-09T18:20:44.294538Z, 5983
2024-12-09T18:20:44.319538Z, 7298
2024-12-09T18:20:44.344538Z, 8777
2024-12-09T18:20:44.369538Z, 7633
2024-12-09T18:20:44.394538Z, 4586
2024-12-09T18:20:44.419538Z, 5835
2024-12-09T18:20:44.444538Z, 4264
2024-12-09T18:20:44.469538Z, 10726
2024-12-09T18:20:44.494538Z, 18131
2024-12-09T18:20:44.519538Z, 12580
2024-12-09T18:20:44.544538Z, 10104
2024-12-09T18:20:44.569538Z, 12747
2024-12-09T18:20:44.594538Z, 13169
2024-12-09T18:20:44.619538Z, 16423
2024-12-09T18:20:44.644538Z, 16633
2024-12-09T18:20:44.669538Z, 8404
2024-12-09T18:20:44.694538Z, 11734
2024-12-09T18:20:44.719538Z, 21447
2024-12-09T18:20:44.744538Z, 21494
2024-12-09T18:20:44.769538Z, 22621
2024-12-09T18:20:44.794538Z, 21248
2024-12-09T18:20:44.819538Z, 16753
2024-12-09T18:20:44.844538Z, 17465
2024-12-09T18:20:44.869538Z, 19144
2024-12-09T18:20:44.894538Z, 18682
2024-12-09T18:20:44.919538Z, 20108
2024-12-09T18:20:44.944538Z, 25352
2024-12-09T18:20:44.969538Z, 23772
2024-12-09T18:20:44.994538Z, 19353
2024-12-09T18:20:45.019538Z, 19551
2024-12-09T18:20:45.044538Z, 15766
2024-12-09T18:20:45.069538Z, 15959
2024-12-09T18:20:45.094538Z, 20631
2024-12-09T18:20:45.119538Z, 20498
2024-12-09T18:20:45.144538Z, 23426
2024-12-09T18:20:45.169538Z, 25448
2024-12-09T18:20:45.194538Z, 26486
2024-12-09T18:20:45.219538Z, 26012
2024-12-09T18:20:45.244538Z, 13774
2024-12-09T18:20:45.269538Z, 9092
2024-12-09T18:20:45.294538Z, 17929
2024-12-09T18:20:45.319538Z, 23315
2024-12-09T18:20:45.344538Z, 22031
2024-12-09T18:20:45.369538Z, 16599
2024-12-09T18:20:45.394538Z, 15922
2024-12-09T18:20:45.419538Z, 18115
2024-12-09T18:20:45.444538Z, 18570
2024-12-09T18:20:45.469538Z, 20449
2024-12-09T18:20:45.494538Z, 20210
2024-12-09T18:20:45.519538Z, 19348
2024-12-09T18:20:45.544538Z, 20140
2024-12-09T18:20:45.569538Z, 23845
2024-12-09T18:20:45.594538Z, 26247
2024-12-09T18:20:45.619538Z, 23498
2024-12-09T18:20:45.644538Z, 19047
2024-12-09T18:20:45.669538Z, 13702
2024-12-09T18:20:45.694538Z, 13655
2024-12-09T18:20:45.719538Z, 16204
2024-12-09T18:20:45.744538Z, 17522
2024-12-09T18:20:45.769538Z, 23382
2024-12-09T18:20:45.794538Z, 27810
2024-12-09T18:20:45.819538Z, 25455
2024-12-09T18:20:45.844538Z, 26161
2024-12-09T18:20:45.869538Z, 26038
2024-12-09T18:20:45.894538Z, 14885
2024-12-09T18:20:45.919538Z, 9965
2024-12-09T18:20:45.944538Z, 13029
2024-12-09T18:20:45.969538Z, 15571
2024-12-09T18:20:45.994538Z, 23998
2024-12-09T18:20:46.019538Z, 25088
2024-12-09T18:20:46.044538Z, 21121
2024-12-09T18:20:46.069538Z, 21128
