# dataset: GeoCSV 2.0
# delimiter: ,
# SID: IM_IL31__BHE
# sample_count: 26401
# sample_rate_hz: 40
# start_time: 2025-04-02T23:25:18.000000Z
# field_unit: UTC, Counts
# field_type: datetime, INTEGER
Time, Sample
2025-04-02T23:25:18.000000Z, 5563
2025-04-02T23:25:18.025000Z, 5558
2025-04-02T23:25:18.050000Z, 5547
2025-04-02T23:25:18.075000Z, 5547
2025-04-02T23:25:18.100000Z, 5547
2025-04-02T23:25:18.125000Z, 5545
2025-04-02T23:25:18.150000Z, 5542
2025-04-02T23:25:18.175000Z, 5525
2025-04-02T23:25:18.200000Z, 5512
2025-04-02T23:25:18.225000Z, 5515
2025-04-02T23:25:18.250000Z, 5516
2025-04-02T23:25:18.275000Z, 5525
2025-04-02T23:25:18.300000Z, 5540
2025-04-02T23:25:18.325000Z, 5544
2025-04-02T23:25:18.350000Z, 5548
2025-04-02T23:25:18.375000Z, 5554
2025-04-02T23:25:18.400000Z, 5552
2025-04-02T23:25:18.425000Z, 5552
2025-04-02T23:25:18.450000Z, 5565
2025-04-02T23:25:18.475000Z, 5576
2025-04-02T23:25:18.500000Z, 5571
2025-04-02T23:25:18.525000Z, 5583
2025-04-02T23:25:18.550000Z, 5596
2025-04-02T23:25:18.575000Z, 5590
2025-04-02T23:25:18.600000Z, 5599
2025-04-02T23:25:18.625000Z, 5601
2025-04-02T23:25:18.650000Z, 5615
2025-04-02T23:25:18.675000Z, 5625
2025-04-02T23:25:18.700000Z, 5611
2025-04-02T23:25:18.725000Z, 5622
2025-04-02T23:25:18.750000Z, 5613
2025-04-02T23:25:18.775000Z, 5597
2025-04-02T23:25:18.800000Z, 5613
2025-04-02T23:25:18.825000Z, 5611
2025-04-02T23:25:18.850000Z, 5609
2025-04-02T23:25:18.875000Z, 5614
2025-04-02T23:25:18.900000Z, 5611
2025-04-02T23:25:18.925000Z, 5615
2025-04-02T23:25:18.950000Z, 5622
2025-04-02T23:25:18.975000Z, 5631
2025-04-02T23:25:19.000000Z, 5634
2025-04-02T23:25:19.025000Z, 5642
2025-04-02T23:25:19.050000Z, 5659
2025-04-02T23:25:19.075000Z, 5656
2025-04-02T23:25:19.100000Z, 5656
2025-04-02T23:25:19.125000Z, 5664
2025-04-02T23:25:19.150000Z, 5657
2025-04-02T23:25:19.175000Z, 5656
2025-04-02T23:25:19.200000Z, 5655
2025-04-02T23:25:19.225000Z, 5662
2025-04-02T23:25:19.250000Z, 5673
2025-04-02T23:25:19.275000Z, 5677
2025-04-02T23:25:19.300000Z, 5690
2025-04-02T23:25:19.325000Z, 5697
2025-04-02T23:25:19.350000Z, 5696
2025-04-02T23:25:19.375000Z, 5699
2025-04-02T23:25:19.400000Z, 5715
2025-04-02T23:25:19.425000Z, 5731
2025-04-02T23:25:19.450000Z, 5736
2025-04-02T23:25:19.475000Z, 5738
2025-04-02T23:25:19.500000Z, 5746
2025-04-02T23:25:19.525000Z, 5762
2025-04-02T23:25:19.550000Z, 5763
2025-04-02T23:25:19.575000Z, 5772
2025-04-02T23:25:19.600000Z, 5779
2025-04-02T23:25:19.625000Z, 5776
2025-04-02T23:25:19.650000Z, 5785
2025-04-02T23:25:19.675000Z, 5783
2025-04-02T23:25:19.700000Z, 5772
2025-04-02T23:25:19.725000Z, 5768
2025-04-02T23:25:19.750000Z, 5770
2025-04-02T23:25:19.775000Z, 5773
2025-04-02T23:25:19.800000Z, 5770
2025-04-02T23:25:19.825000Z, 5765
2025-04-02T23:25:19.850000Z, 5761
2025-04-02T23:25:19.875000Z, 5761
2025-04-02T23:25:19.900000Z, 5767
2025-04-02T23:25:19.925000Z, 5763
2025-04-02T23:25:19.950000Z, 5758
2025-04-02T23:25:19.975000Z, 5748
2025-04-02T23:25:20.000000Z, 5744
2025-04-02T23:25:20.025000Z, 5749
2025-04-02T23:25:20.050000Z, 5737
2025-04-02T23:25:20.075000Z, 5726
2025-04-02T23:25:20.100000Z, 5722
2025-04-02T23:25:20.125000Z, 5712
2025-04-02T23:25:20.150000Z, 5696
2025-04-02T23:25:20.175000Z, 5681
2025-04-02T23:25:20.200000Z, 5665
2025-04-02T23:25:20.225000Z, 5645
2025-04-02T23:25:20.250000Z, 5639
2025-04-02T23:25:20.275000Z, 5625
2025-04-02T23:25:20.300000Z, 5605
2025-04-02T23:25:20.325000Z, 5592
2025-04-02T23:25:20.350000Z, 5574
2025-04-02T23:25:20.375000Z, 5560
2025-04-02T23:25:20.400000Z, 5546
2025-04-02T23:25:20.425000Z, 5529
2025-04-02T23:25:20.450000Z, 5508
2025-04-02T23:25:20.475000Z, 5482
2025-04-02T23:25:20.500000Z, 5465
2025-04-02T23:25:20.525000Z, 5452
2025-04-02T23:25:20.550000Z, 5435
2025-04-02T23:25:20.575000Z, 5404
2025-04-02T23:25:20.600000Z, 5382
2025-04-02T23:25:20.625000Z, 5370
2025-04-02T23:25:20.650000Z, 5347
2025-04-02T23:25:20.675000Z, 5329
2025-04-02T23:25:20.700000Z, 5319
2025-04-02T23:25:20.725000Z, 5294
2025-04-02T23:25:20.750000Z, 5265
2025-04-02T23:25:20.775000Z, 5244
2025-04-02T23:25:20.800000Z, 5221
2025-04-02T23:25:20.825000Z, 5199
2025-04-02T23:25:20.850000Z, 5182
2025-04-02T23:25:20.875000Z, 5170
2025-04-02T23:25:20.900000Z, 5147
2025-04-02T23:25:20.925000Z, 5119
2025-04-02T23:25:20.950000Z, 5101
2025-04-02T23:25:20.975000Z, 5072
2025-04-02T23:25:21.000000Z, 5048
2025-04-02T23:25:21.025000Z, 5037
2025-04-02T23:25:21.050000Z, 5014
2025-04-02T23:25:21.075000Z, 4995
2025-04-02T23:25:21.100000Z, 4986
2025-04-02T23:25:21.125000Z, 4973
2025-04-02T23:25:21.150000Z, 4955
2025-04-02T23:25:21.175000Z, 4943
2025-04-02T23:25:21.200000Z, 4932
2025-04-02T23:25:21.225000Z, 4930
2025-04-02T23:25:21.250000Z, 4926
2025-04-02T23:25:21.275000Z, 4920
2025-04-02T23:25:21.300000Z, 4922
2025-04-02T23:25:21.325000Z, 4911
2025-04-02T23:25:21.350000Z, 4910
2025-04-02T23:25:21.375000Z, 4932
2025-04-02T23:25:21.400000Z, 4940
2025-04-02T23:25:21.425000Z, 4947
2025-04-02T23:25:21.450000Z, 4953
2025-04-02T23:25:21.475000Z, 4947
2025-04-02T23:25:21.500000Z, 4954
2025-04-02T23:25:21.525000Z, 4966
2025-04-02T23:25:21.550000Z, 4971
2025-04-02T23:25:21.575000Z, 4979
2025-04-02T23:25:21.600000Z, 4997
2025-04-02T23:25:21.625000Z, 4998
2025-04-02T23:25:21.650000Z, 5006
2025-04-02T23:25:21.675000Z, 5037
2025-04-02T23:25:21.700000Z, 5040
2025-04-02T23:25:21.725000Z, 5060
2025-04-02T23:25:21.750000Z, 5089
2025-04-02T23:25:21.775000Z, 5102
2025-04-02T23:25:21.800000Z, 5127
2025-04-02T23:25:21.825000Z, 5152
2025-04-02T23:25:21.850000Z, 5179
2025-04-02T23:25:21.875000Z, 5205
2025-04-02T23:25:21.900000Z, 5230
2025-04-02T23:25:21.925000Z, 5253
2025-04-02T23:25:21.950000Z, 5273
2025-04-02T23:25:21.975000Z, 5299
2025-04-02T23:25:22.000000Z, 5311
2025-04-02T23:25:22.025000Z, 5320
2025-04-02T23:25:22.050000Z, 5334
2025-04-02T23:25:22.075000Z, 5349
2025-04-02T23:25:22.100000Z, 5377
2025-04-02T23:25:22.125000Z, 5401
2025-04-02T23:25:22.150000Z, 5420
2025-04-02T23:25:22.175000Z, 5439
2025-04-02T23:25:22.200000Z, 5455
2025-04-02T23:25:22.225000Z, 5475
2025-04-02T23:25:22.250000Z, 5496
2025-04-02T23:25:22.275000Z, 5520
2025-04-02T23:25:22.300000Z, 5549
2025-04-02T23:25:22.325000Z, 5575
2025-04-02T23:25:22.350000Z, 5594
2025-04-02T23:25:22.375000Z, 5610
2025-04-02T23:25:22.400000Z, 5629
2025-04-02T23:25:22.425000Z, 5651
2025-04-02T23:25:22.450000Z, 5675
2025-04-02T23:25:22.475000Z, 5706
2025-04-02T23:25:22.500000Z, 5720
2025-04-02T23:25:22.525000Z, 5730
2025-04-02T23:25:22.550000Z, 5761
2025-04-02T23:25:22.575000Z, 5778
2025-04-02T23:25:22.600000Z, 5794
2025-04-02T23:25:22.625000Z, 5802
2025-04-02T23:25:22.650000Z, 5813
2025-04-02T23:25:22.675000Z, 5860
2025-04-02T23:25:22.700000Z, 5851
2025-04-02T23:25:22.725000Z, 5847
2025-04-02T23:25:22.750000Z, 5884
2025-04-02T23:25:22.775000Z, 5876
2025-04-02T23:25:22.800000Z, 5897
2025-04-02T23:25:22.825000Z, 5911
2025-04-02T23:25:22.850000Z, 5920
2025-04-02T23:25:22.875000Z, 5956
2025-04-02T23:25:22.900000Z, 5970
2025-04-02T23:25:22.925000Z, 5982
2025-04-02T23:25:22.950000Z, 5977
2025-04-02T23:25:22.975000Z, 5986
2025-04-02T23:25:23.000000Z, 5997
2025-04-02T23:25:23.025000Z, 6014
2025-04-02T23:25:23.050000Z, 6030
2025-04-02T23:25:23.075000Z, 6030
2025-04-02T23:25:23.100000Z, 6053
2025-04-02T23:25:23.125000Z, 6071
2025-04-02T23:25:23.150000Z, 6087
2025-04-02T23:25:23.175000Z, 6093
2025-04-02T23:25:23.200000Z, 6113
2025-04-02T23:25:23.225000Z, 6137
2025-04-02T23:25:23.250000Z, 6137
2025-04-02T23:25:23.275000Z, 6151
2025-04-02T23:25:23.300000Z, 6158
2025-04-02T23:25:23.325000Z, 6160
2025-04-02T23:25:23.350000Z, 6185
2025-04-02T23:25:23.375000Z, 6202
2025-04-02T23:25:23.400000Z, 6225
2025-04-02T23:25:23.425000Z, 6259
2025-04-02T23:25:23.450000Z, 6272
2025-04-02T23:25:23.475000Z, 6297
2025-04-02T23:25:23.500000Z, 6321
2025-04-02T23:25:23.525000Z, 6333
2025-04-02T23:25:23.550000Z, 6356
2025-04-02T23:25:23.575000Z, 6370
2025-04-02T23:25:23.600000Z, 6395
2025-04-02T23:25:23.625000Z, 6431
2025-04-02T23:25:23.650000Z, 6448
2025-04-02T23:25:23.675000Z, 6481
2025-04-02T23:25:23.700000Z, 6499
2025-04-02T23:25:23.725000Z, 6508
2025-04-02T23:25:23.750000Z, 6538
2025-04-02T23:25:23.775000Z, 6533
2025-04-02T23:25:23.800000Z, 6579
2025-04-02T23:25:23.825000Z, 6607
2025-04-02T23:25:23.850000Z, 6597
2025-04-02T23:25:23.875000Z, 6654
