# dataset: GeoCSV 2.0
# delimiter: ,
# SID: IM_IL31__BHN
# sample_count: 26401
# sample_rate_hz: 40
# start_time: 2025-04-02T23:25:18.000000Z
# field_unit: UTC, Counts
# field_type: datetime, INTEGER
Time, Sample
2025-04-02T23:25:18.000000Z, -1557
2025-04-02T23:25:18.025000Z, -1535
2025-04-02T23:25:18.050000Z, -1511
2025-04-02T23:25:18.075000Z, -1483
2025-04-02T23:25:18.100000Z, -1473
2025-04-02T23:25:18.125000Z, -1454
2025-04-02T23:25:18.150000Z, -1425
2025-04-02T23:25:18.175000Z, -1405
2025-04-02T23:25:18.200000Z, -1381
2025-04-02T23:25:18.225000Z, -1367
2025-04-02T23:25:18.250000Z, -1343
2025-04-02T23:25:18.275000Z, -1314
2025-04-02T23:25:18.300000Z, -1289
2025-04-02T23:25:18.325000Z, -1257
2025-04-02T23:25:18.350000Z, -1232
2025-04-02T23:25:18.375000Z, -1199
2025-04-02T23:25:18.400000Z, -1170
2025-04-02T23:25:18.425000Z, -1146
2025-04-02T23:25:18.450000Z, -1114
2025-04-02T23:25:18.475000Z, -1091
2025-04-02T23:25:18.500000Z, -1077
2025-04-02T23:25:18.525000Z, -1053
2025-04-02T23:25:18.550000Z, -1036
2025-04-02T23:25:18.575000Z, -1026
2025-04-02T23:25:18.600000Z, -997
2025-04-02T23:25:18.625000Z, -968
2025-04-02T23:25:18.650000Z, -938
2025-04-02T23:25:18.675000Z, -921
2025-04-02T23:25:18.700000Z, -914
2025-04-02T23:25:18.725000Z, -893
2025-04-02T23:25:18.750000Z, -876
2025-04-02T23:25:18.775000Z, -865
2025-04-02T23:25:18.800000Z, -862
2025-04-02T23:25:18.825000Z, -842
2025-04-02T23:25:18.850000Z, -814
2025-04-02T23:25:18.875000Z, -811
2025-04-02T23:25:18.900000Z, -793
2025-04-02T23:25:18.925000Z, -771
2025-04-02T23:25:18.950000Z, -767
2025-04-02T23:25:18.975000Z, -758
2025-04-02T23:25:19.000000Z, -750
2025-04-02T23:25:19.025000Z, -752
2025-04-02T23:25:19.050000Z, -745
2025-04-02T23:25:19.075000Z, -742
2025-04-02T23:25:19.100000Z, -746
2025-04-02T23:25:19.125000Z, -739
2025-04-02T23:25:19.150000Z, -727
2025-04-02T23:25:19.175000Z, -720
2025-04-02T23:25:19.200000Z, -723
