# dataset: GeoCSV 2.0
# delimiter: ,
# SID: II_PALK_10_BH2
# sample_count: 26400
# sample_rate_hz: 40
# start_time: 2025-03-23T18:45:36.019538Z
# field_unit: UTC, Counts
# field_type: datetime, INTEGER
Time, Sample
2025-03-23T18:45:36.019538Z, -792
2025-03-23T18:45:36.044538Z, -790
2025-03-23T18:45:36.069538Z, -827
2025-03-23T18:45:36.094538Z, -848
2025-03-23T18:45:36.119538Z, -866
2025-03-23T18:45:36.144538Z, -879
2025-03-23T18:45:36.169538Z, -855
2025-03-23T18:45:36.194538Z, -827
2025-03-23T18:45:36.219538Z, -815
2025-03-23T18:45:36.244538Z, -803
2025-03-23T18:45:36.269538Z, -806
2025-03-23T18:45:36.294538Z, -823
2025-03-23T18:45:36.319538Z, -826
2025-03-23T18:45:36.344538Z, -848
2025-03-23T18:45:36.369538Z, -870
2025-03-23T18:45:36.394538Z, -845
2025-03-23T18:45:36.419538Z, -820
2025-03-23T18:45:36.444538Z, -783
2025-03-23T18:45:36.469538Z, -738
2025-03-23T18:45:36.494538Z, -755
2025-03-23T18:45:36.519538Z, -763
2025-03-23T18:45:36.544538Z, -739
2025-03-23T18:45:36.569538Z, -732
2025-03-23T18:45:36.594538Z, -724
2025-03-23T18:45:36.619538Z, -723
2025-03-23T18:45:36.644538Z, -723
2025-03-23T18:45:36.669538Z, -724
2025-03-23T18:45:36.694538Z, -728
2025-03-23T18:45:36.719538Z, -734
2025-03-23T18:45:36.744538Z, -732
2025-03-23T18:45:36.769538Z, -710
2025-03-23T18:45:36.794538Z, -715
2025-03-23T18:45:36.819538Z, -734
2025-03-23T18:45:36.844538Z, -750
2025-03-23T18:45:36.869538Z, -773
2025-03-23T18:45:36.894538Z, -799
2025-03-23T18:45:36.919538Z, -829
2025-03-23T18:45:36.944538Z, -816
2025-03-23T18:45:36.969538Z, -798
2025-03-23T18:45:36.994538Z, -809
2025-03-23T18:45:37.019538Z, -821
2025-03-23T18:45:37.044538Z, -846
2025-03-23T18:45:37.069538Z, -860
2025-03-23T18:45:37.094538Z, -861
2025-03-23T18:45:37.119538Z, -869
2025-03-23T18:45:37.144538Z, -862
2025-03-23T18:45:37.169538Z, -858
2025-03-23T18:45:37.194538Z, -886
2025-03-23T18:45:37.219538Z, -887
2025-03-23T18:45:37.244538Z, -851
2025-03-23T18:45:37.269538Z, -865
2025-03-23T18:45:37.294538Z, -891
2025-03-23T18:45:37.319538Z, -876
2025-03-23T18:45:37.344538Z, -855
2025-03-23T18:45:37.369538Z, -834
2025-03-23T18:45:37.394538Z, -823
2025-03-23T18:45:37.419538Z, -810
2025-03-23T18:45:37.444538Z, -788
2025-03-23T18:45:37.469538Z, -796
2025-03-23T18:45:37.494538Z, -799
2025-03-23T18:45:37.519538Z, -785
2025-03-23T18:45:37.544538Z, -778
2025-03-23T18:45:37.569538Z, -749
2025-03-23T18:45:37.594538Z, -728
2025-03-23T18:45:37.619538Z, -732
2025-03-23T18:45:37.644538Z, -730
2025-03-23T18:45:37.669538Z, -699
2025-03-23T18:45:37.694538Z, -659
2025-03-23T18:45:37.719538Z, -645
2025-03-23T18:45:37.744538Z, -623
2025-03-23T18:45:37.769538Z, -599
2025-03-23T18:45:37.794538Z, -580
2025-03-23T18:45:37.819538Z, -577
2025-03-23T18:45:37.844538Z, -593
2025-03-23T18:45:37.869538Z, -596
2025-03-23T18:45:37.894538Z, -580
2025-03-23T18:45:37.919538Z, -562
2025-03-23T18:45:37.944538Z, -541
2025-03-23T18:45:37.969538Z, -517
2025-03-23T18:45:37.994538Z, -523
2025-03-23T18:45:38.019538Z, -536
2025-03-23T18:45:38.044538Z, -531
2025-03-23T18:45:38.069538Z, -550
2025-03-23T18:45:38.094538Z, -573
2025-03-23T18:45:38.119538Z, -568
2025-03-23T18:45:38.144538Z, -568
2025-03-23T18:45:38.169538Z, -578
2025-03-23T18:45:38.194538Z, -570
2025-03-23T18:45:38.219538Z, -583
2025-03-23T18:45:38.244538Z, -620
2025-03-23T18:45:38.269538Z, -632
2025-03-23T18:45:38.294538Z, -649
2025-03-23T18:45:38.319538Z, -673
2025-03-23T18:45:38.344538Z, -668
2025-03-23T18:45:38.369538Z, -667
2025-03-23T18:45:38.394538Z, -688
2025-03-23T18:45:38.419538Z, -702
2025-03-23T18:45:38.444538Z, -734
2025-03-23T18:45:38.469538Z, -766
2025-03-23T18:45:38.494538Z, -765
2025-03-23T18:45:38.519538Z, -781
2025-03-23T18:45:38.544538Z, -795
2025-03-23T18:45:38.569538Z, -790
2025-03-23T18:45:38.594538Z, -795
2025-03-23T18:45:38.619538Z, -811
2025-03-23T18:45:38.644538Z, -823
2025-03-23T18:45:38.669538Z, -832
2025-03-23T18:45:38.694538Z, -834
2025-03-23T18:45:38.719538Z, -813
2025-03-23T18:45:38.744538Z, -793
2025-03-23T18:45:38.769538Z, -807
2025-03-23T18:45:38.794538Z, -826
2025-03-23T18:45:38.819538Z, -836
2025-03-23T18:45:38.844538Z, -869
2025-03-23T18:45:38.869538Z, -876
2025-03-23T18:45:38.894538Z, -848
2025-03-23T18:45:38.919538Z, -852
2025-03-23T18:45:38.944538Z, -849
2025-03-23T18:45:38.969538Z, -831
2025-03-23T18:45:38.994538Z, -848
2025-03-23T18:45:39.019538Z, -862
2025-03-23T18:45:39.044538Z, -870
2025-03-23T18:45:39.069538Z, -885
2025-03-23T18:45:39.094538Z, -874
2025-03-23T18:45:39.119538Z, -875
2025-03-23T18:45:39.144538Z, -883
2025-03-23T18:45:39.169538Z, -867
2025-03-23T18:45:39.194538Z, -881
2025-03-23T18:45:39.219538Z, -903
2025-03-23T18:45:39.244538Z, -891
2025-03-23T18:45:39.269538Z, -888
2025-03-23T18:45:39.294538Z, -886
2025-03-23T18:45:39.319538Z, -875
2025-03-23T18:45:39.344538Z, -903
2025-03-23T18:45:39.369538Z, -936
2025-03-23T18:45:39.394538Z, -952
2025-03-23T18:45:39.419538Z, -976
2025-03-23T18:45:39.444538Z, -980
2025-03-23T18:45:39.469538Z, -972
2025-03-23T18:45:39.494538Z, -950
2025-03-23T18:45:39.519538Z, -944
2025-03-23T18:45:39.544538Z, -965
2025-03-23T18:45:39.569538Z, -973
2025-03-23T18:45:39.594538Z, -990
2025-03-23T18:45:39.619538Z, -1003
2025-03-23T18:45:39.644538Z, -1019
2025-03-23T18:45:39.669538Z, -1016
